"Germplasm","Rep","Plot","Row","Range","yld1","yld2","yld3","tot22","sca_yld1","sca_yld2","sca_yld3","NDRE_131","NDRE_145","NDRE_154","NDRE_159","NDRE_162","NDRE_164","NDRE_175","NDRE_178","NDRE_181","NDRE_187","NDRE_189","NDRE_192","NDRE_201","NDRE_203","NDRE_210","NDRE_215","NDRE_223","NDRE_236","NDRE_238","NDRE_243","NDRE_259","NDRE_263"
"SW4412Y",1,113,1,36,1.66,0.63,0.52,2.8,0.196905191087492,0.204655874628428,0.102121198538912,0.314060375465346,0.310847735320543,0.463660448769938,0.547377765072299,0.477078379207111,0.253885864793679,0.347774173909392,0.274722086597179,0.354781180884392,0.244056898034005,0.375569684146966,0.395178630863042,0.31808110942851,0.399205070642432,0.413331433395141,0.446683810136076,0.357326718321737,0.254637161246395,0.282690883790393,0.291445002193089,0.253818902537777,0.291265486125246
"AMERISTAND_427_TQ",1,114,1,35,1.34,0.72,0.61,2.67,0.158947563889904,0.233892428146775,0.119796021362954,0.345328953679073,0.296865651921146,0.459618656870696,0.541915316851378,0.44832732671195,0.260179253838697,0.352778171,0.282875628297752,0.340567053834012,0.284193358608576,0.410766505567703,0.428733224900935,0.312758751556227,0.384260815534265,0.405732652165218,0.441872985753441,0.368322663116971,0.281152183321103,0.332425234330634,0.335668808699951,0.274710293115201,0.287582603975846
"VERNAL",1,115,1,34,0.83,0.54,0.49,1.86,0.0984525955437462,0.175419321110081,0.0962295909308978,0.506061575754166,0.448217060409069,0.423512555062577,0.516528147144301,0.500312610931077,0.243947165875684,0.360849777945366,0.349167616041966,0.32164994698638,0.322960749,0.387686246147446,0.390252283255568,0.34576920048217,0.392061769553771,0.441062016204331,0.448418840860335,0.374442322726504,0.259551423728863,0.293262976851686,0.299561687688774,0.25981753921126,0.265219064873452
"HI-GEST_360",1,116,1,33,1.36,0.78,0.63,2.77,0.161319915589753,0.253383463825672,0.123723759768297,0.418124243958703,0.29285397177739,0.495639839066202,0.434327593746863,0.455632149686817,0.254421730333867,0.368197479741361,0.273949731462415,0.355810748571511,0.348083622868159,0.451326766722568,0.465242078469052,0.364961758176912,0.363740857612014,0.38539212674317,0.448259631721541,0.359839632089395,0.281656744782507,0.367985661973089,0.401136783480515,0.263533411133555,0.302784623838437
"55V50",1,117,1,32,2,0.86,0.65,3.51,0.237235169984931,0.279371511397536,0.12765149817364,0.35118077537661,0.338422784208023,0.501330725,0.397500537430396,0.454665562286169,0.241910998530194,0.393046128707893,0.315297915148256,0.392577853260218,0.34935216417009,0.437005785920926,0.455713526421079,0.343503598448783,0.364850448864724,0.405226509699782,0.448396653601478,0.348532317021636,0.276374770769015,0.359275537094109,0.397487999121217,0.232091914661384,0.31899060956236
"PLUSS_III",1,118,1,31,1.44,0.62,0.51,2.57,0.17080932238915,0.201407368681945,0.100157329336241,0.392467836,0.309861925902436,0.482369956904092,0.390171737035943,0.440670560787196,0.25567125712323,0.376736372967991,0.290549411151445,0.356244692640942,0.307879253328718,0.400035571123338,0.420160157582837,0.343856573,0.382802309220201,0.381063388191042,0.447582566724322,0.320191071052077,0.2497146463221,0.281811805218735,0.334387892143159,0.211943219377359,0.282362032702354
"WL_358LH",1,119,1,30,1.25,0.51,0.48,2.23,0.148271981240582,0.165673803270632,0.0942657217282265,0.407267372,0.343341789546007,0.506075568913697,0.325310177973228,0.436939237443079,0.238315771264394,0.362656662928156,0.255660989284442,0.346980903727598,0.311035362327078,0.407892080205112,0.437766816,0.347771328550738,0.35157779439985,0.372101572138729,0.457557963054204,0.317359312425235,0.241562201022728,0.26523022183303,0.340335915,0.267392489622731,0.295680575344325
"NY1614",1,120,1,29,1.31,0.6,0.61,2.52,0.15538903634013,0.194910356788979,0.119796021362954,0.425006681295187,0.320772554304741,0.467928056867516,0.357830060830845,0.461402410552178,0.247870531944835,0.31514449262611,0.240951097147628,0.317020766441978,0.283445797945891,0.396893967326564,0.412275991852917,0.333531114516615,0.347855235268403,0.376892208735346,0.44289317856303,0.285987813767748,0.253525402024527,0.260216688041959,0.309154983727819,0.289468172470699,0.321194451698548
"LANDER",1,121,1,28,1.05,0.56,0.59,2.21,0.124548464242089,0.181916333003047,0.115868282957612,0.478439108785552,0.308898181914275,0.466535629661435,0.330504208973358,0.455764257187422,0.258652045398136,0.301321853527736,0.249299231300845,0.296917994878849,0.322200929162618,0.408245764554616,0.415195921434657,0.328589114462317,0.309314657776386,0.337337188638896,0.449523069701469,0.290282521610795,0.255707869624561,0.270657056816759,0.309710843241406,0.26882351378923,0.3759319710126
"LIGHTNING_BOLT",1,122,1,27,1.65,0.69,0.63,2.97,0.195719015237568,0.224146910307326,0.123723759768297,0.389451045899806,0.400751545901379,0.485665760221363,0.35048640995928,0.424802630155949,0.264637564525874,0.37290422846489,0.291604102244771,0.363948586575517,0.366403420892454,0.436146550524456,0.448395179572843,0.342131724484666,0.309241143531665,0.341778077599248,0.44712132221138,0.321167437880325,0.26886612620984,0.317081514501274,0.349276806613056,0.27936289221024,0.377521027833997
"N-R-GEE",1,123,1,26,1.83,0.68,0.53,3.03,0.217070180536212,0.220898404360843,0.104085067741583,0.320927457544472,0.404941983654525,0.500372755752747,0.31519922016962,0.397462851210175,0.256880428,0.35433399321267,0.27932024728573,0.354353233830846,0.368105600755733,0.453845581144705,0.466406680105586,0.329942088197243,0.304754408880652,0.356148559973208,0.448666455829644,0.29000619333755,0.27040065306406,0.300467787114846,0.377833470643159,0.268543562080951,0.335019200759889
