"Germplasm","Rep","Plot","Row","Range","yld1","yld2","yld3","tot22","sca_yld1","sca_yld2","sca_yld3","NDVI_131","NDVI_145","NDVI_154","NDVI_159","NDVI_162","NDVI_164","NDVI_175","NDVI_178","NDVI_181","NDVI_187","NDVI_189","NDVI_192","NDVI_201","NDVI_203","NDVI_210","NDVI_215","NDVI_223","NDVI_236","NDVI_238","NDVI_243","NDVI_259","NDVI_263"
"SW4412Y",1,113,1,36,1.66,0.63,0.52,2.8,0.196905191087492,0.204655874628428,0.102121198538912,0.433960789002354,0.537978040272713,0.503501105,0.512364756137058,0.442038599879638,0.233372703048226,0.539604982785405,0.521196779,0.55311437,0.449249577835724,0.456102419314893,0.45976540504106,0.349537889252613,0.398350847883213,0.427960717,0.441904812926992,0.494660157073582,0.421347486362966,0.445329478321535,0.444557293781915,0.367843720496193,0.356858402876722
"AMERISTAND_427_TQ",1,114,1,35,1.34,0.72,0.61,2.67,0.158947563889904,0.233892428146775,0.119796021362954,0.412417325837387,0.549971064,0.53133804048789,0.504378847214156,0.408325546972281,0.244352753541608,0.552878854533266,0.547173102369782,0.573788362910616,0.474610880853613,0.492202267650715,0.509481031656818,0.33020212676532,0.402902960330363,0.408952816445547,0.433229420800578,0.537948730138607,0.470604446104123,0.500959144477837,0.492669193167463,0.390848006798927,0.341455322613474
"VERNAL",1,115,1,34,0.83,0.54,0.49,1.86,0.0984525955437462,0.175419321110081,0.0962295909308978,0.358206037077672,0.385115612282649,0.513200228996708,0.516374852960989,0.420219323859581,0.204332227712719,0.443861812887548,0.425737269525878,0.471263499282757,0.415543613013565,0.454448753947095,0.45408788048154,0.374800660661752,0.401070637460005,0.411430980994548,0.429142534698591,0.428019090179175,0.366298594435929,0.407452225973645,0.411323543115876,0.354766721710063,0.346166704750713
"HI-GEST_360",1,116,1,33,1.36,0.78,0.63,2.77,0.161319915589753,0.253383463825672,0.123723759768297,0.389954848510423,0.548032873526769,0.539671771384953,0.512919259520175,0.384818076214978,0.221366055692191,0.565418739765714,0.54864693381262,0.581640375749027,0.488739996542161,0.528664293818093,0.526677300577539,0.354530358,0.405709086857125,0.39743814945333,0.442807013515789,0.529752134724858,0.449280138718217,0.510354619566072,0.510275891178389,0.390608877869795,0.339269684011229
"55V50",1,117,1,32,2,0.86,0.65,3.51,0.237235169984931,0.279371511397536,0.12765149817364,0.459932363352214,0.552287537656572,0.515848639536918,0.513741939253065,0.365802883349174,0.21607142633768,0.559908533391989,0.559616051400712,0.58528884027308,0.488440633,0.493188070792444,0.503455403920742,0.348517144898142,0.410579707983105,0.381471422536061,0.431635487517652,0.526418425667681,0.43867624262372,0.482922608679007,0.484983687592684,0.356155669,0.346546865138952
"PLUSS_III",1,118,1,31,1.44,0.62,0.51,2.57,0.17080932238915,0.201407368681945,0.100157329336241,0.449639678922741,0.555211008931875,0.53682807754083,0.513134050895027,0.388340699826225,0.234503636514061,0.559684122046254,0.541158898300088,0.551022251327739,0.460992657199568,0.449756438255148,0.449020340494477,0.354911046902542,0.41150186681721,0.398437360961802,0.435208272744435,0.507102308665402,0.39941293709482,0.438578175021813,0.447922840369024,0.34769117165364,0.332510753782482
"WL_358LH",1,119,1,30,1.25,0.51,0.48,2.23,0.148271981240582,0.165673803270632,0.0942657217282265,0.385449581335935,0.518798953543682,0.52407725458391,0.520599608486469,0.342577048988436,0.214765174705607,0.536804862641967,0.526022671789755,0.551274308491364,0.445247365765971,0.431904788861292,0.449414088257274,0.34867910460407,0.408671387831403,0.389789395458907,0.427663527034514,0.490510610079576,0.383841585648801,0.415006111527353,0.439812418117932,0.368900949,0.301953049732004
"NY1614",1,120,1,29,1.31,0.6,0.61,2.52,0.15538903634013,0.194910356788979,0.119796021362954,0.365933599647415,0.506512605042017,0.530553090660433,0.529296963892087,0.402456483209727,0.222201707477249,0.525213282,0.516254484471522,0.544691447942075,0.458695410494333,0.452908559759487,0.470055598,0.361068441558834,0.400314695290469,0.387833474130393,0.430886031062204,0.504940786,0.431303749570003,0.441548847329365,0.440719766503674,0.397252829371198,0.326969081195186
"LANDER",1,121,1,28,1.05,0.56,0.59,2.21,0.124548464242089,0.181916333003047,0.115868282957612,0.327681309252539,0.469935521378363,0.520545139385843,0.540605404706359,0.364985627348833,0.218261292498076,0.522457107843137,0.514855305769607,0.559286668481484,0.463049650887969,0.481578294287821,0.481340835683051,0.351336445309658,0.392009188612684,0.404687087738321,0.427999469368804,0.524698898376555,0.432638873811871,0.459553893102687,0.428993734480093,0.387039753622215,0.336759401318796
"LIGHTNING_BOLT",1,122,1,27,1.65,0.69,0.63,2.97,0.195719015237568,0.224146910307326,0.123723759768297,0.463314195741535,0.539335790920142,0.544581524418364,0.520777484530796,0.38646345047655,0.24736318258284,0.5649600144545,0.537439823758205,0.55552855363237,0.468990287261178,0.476662586121902,0.46900570840058,0.368933451250957,0.399341466431074,0.399111959269173,0.434745816326726,0.52255218897904,0.436785367428141,0.458181992037086,0.438884046769393,0.394047293578149,0.342483705468869
"N-R-GEE",1,123,1,26,1.83,0.68,0.53,3.03,0.217070180536212,0.220898404360843,0.104085067741583,0.533728116,0.533321898227559,0.522223971502632,0.531179629308852,0.342336579041454,0.230705420267086,0.561417090874812,0.55414010184851,0.587897902003963,0.487309316444712,0.49350596554919,0.518149029655633,0.355265010039936,0.37986880967355,0.349005762000618,0.415409927,0.499435615644107,0.427213463077709,0.454275273745862,0.477046959960455,0.386493993,0.318368953117579
"SW4602Z",1,124,1,25,1.84,0.67,0.51,3.01,0.218256356386136,0.21764989841436,0.100157329336241,0.538776200135227,0.545514243433222,0.507911995292845,0.520247399150202,0.362656798492546,0.235877912249429,0.558921936012092,0.524788130096258,0.548322154895724,0.473770986834159,0.477474803225753,0.473111381843225,0.355722808109935,0.377329449234262,0.362797767211877,0.41403779189217,0.497052088615619,0.413210941717796,0.43128053526148,0.487371670236722,0.370910528182271,0.337369699436868
"ONEIDA_VR",1,125,1,24,1.96,0.47,0.58,3.02,0.232490466585232,0.1526797794847,0.11390441375494,0.492355842,0.525930976164051,0.52354404210995,0.531582019252203,0.412407166836181,0.24916714927884,0.524026808907324,0.48156230614464,0.526520244,0.446937555248278,0.452395727929088,0.455221292103902,0.371706533256381,0.397162866668158,0.369189255488777,0.428197818289429,0.488416350411132,0.412774841980787,0.448820014561522,0.499267104101915,0.403845122358295,0.396886084537621
"REGEN",1,126,1,23,2.04,NA,0.56,NA,0.241979873384629,NA,0.109976675349598,0.486149909509476,0.545078616352201,0.527917879236041,0.504246182258955,0.414491813207017,0.250426243862776,0.547302874141109,0.506944827732609,0.556125711845786,0.481603578,0.478596110575378,0.493261386971785,0.365254994654971,0.393158254996247,0.340949298237814,0.433413903195687,0.521955513388151,0.433995759503903,0.467410109498345,0.477767922,0.368005257503634,0.393116172662184
"NY2003",1,127,1,22,1.6,NA,0.42,NA,0.189788135987945,NA,0.0824825065121982,0.507776576804209,0.527514269858887,0.509060318369035,0.469925547,0.373605051650146,0.249134940738656,0.502232859,0.457780867670056,0.5201563,0.446464359387915,0.451884598420145,0.462367154612459,0.350014399610837,0.37157310242469,0.357266782586946,0.418416661714061,0.484660633484163,0.388301005793917,0.42184391554317,0.423615093096062,0.315372105339626,0.349870650257883
"NY0651",1,128,1,21,1.79,NA,0.43,NA,0.212325477136513,NA,0.0844463757148695,0.524245013643908,0.545857909201417,0.516628341523146,0.441375503951797,0.329795411404998,0.235003798220477,0.540018539467069,0.488139413109163,0.528944357287814,0.446058750816518,0.443081589667023,0.451257857685617,0.328388667793345,0.380591943878789,0.359062705175287,0.430288071512758,0.518815227703985,0.423791245294161,0.441164043082022,0.448804398471717,0.349533276779758,0.350647262365154
"NY1517",1,129,1,20,2.25,NA,0.56,NA,0.266889566233047,NA,0.109976675349598,0.52875739,0.532887532371439,0.531449835,0.480271015964559,0.412446419097131,0.253998561466054,0.503713261479806,0.463317199849987,0.512930285889741,0.434944134262856,0.443566117382343,0.453512505869027,0.355679181389425,0.398842100552659,0.376327041167122,0.426161940438331,0.488685873,0.404713727227069,0.443116246498599,0.457293678255616,0.354330540544904,0.371165479340525
"SEEDWAY_9558",1,130,1,19,2.04,NA,0.58,NA,0.241979873384629,NA,0.11390441375494,0.494690838989217,0.53934490777443,0.513347168551119,0.492822709227751,0.408274329133379,0.243411451981111,0.513822847126002,0.4701882,0.504608467,0.446633106679077,0.457635336102443,0.457089448355407,0.359417668795024,0.396198187012268,0.390291195590219,0.432680121228819,0.508610188699136,0.425206506903344,0.472773467901885,0.460595595100785,0.363815606182983,0.356876314539657
"ALFABAR",1,131,1,18,1.82,0.55,0.46,2.82,0.215884004686287,0.178667827056564,0.0903379833228837,0.498033589332433,0.534139051847154,0.509319211869663,0.492692704956668,0.348805984011929,0.244567291179354,0.490860409,0.453242853739595,0.476121681851111,0.411031807985078,0.391368468474843,0.404257436934419,0.345502169563119,0.383480635,0.377200686726303,0.428788017939416,0.484146277045301,0.388294926740165,0.433468152946198,0.420959945622084,0.343663994692504,0.336775587038367
"SW4107",1,132,1,17,1.62,0.5,0.41,2.54,0.192160487687794,0.162425297324149,0.0805186373095268,0.503375398602347,0.545359917551926,0.504825151471781,0.495496388982292,0.330865260546994,0.234116669299097,0.516700969917882,0.464643023093996,0.473312919491261,0.386464705,0.386100317658404,0.386318259555343,0.325404870910796,0.385673621332121,0.405696084940102,0.441058519219911,0.495861989731237,0.383634463603113,0.40086427298192,0.40267690637899,0.340272342437626,0.353638930599987
"GUARDSMAN_II",1,133,1,16,1.89,0.65,0.45,2.99,0.224187235635759,0.211152886521394,0.0883741141202123,0.471842326122223,0.542683923,0.518366967224846,0.487864625612356,0.340162679827625,0.237311646103846,0.516678475,0.495775928559804,0.522643652518507,0.426486219563318,0.419800312763142,0.445041415733583,0.303829982740745,0.382881858207972,0.42568656310801,0.434850734465006,0.513730497575374,0.420447680724972,0.42850869925435,0.440485187170698,0.345091061150246,0.349004545762942
"SW315_LH",1,134,1,15,1.76,0.56,0.42,2.74,0.208766949586739,0.181916333003047,0.0824825065121982,0.464453795,0.53062324929972,0.492595773102428,0.471451052850264,0.335284447956069,0.269872841093988,0.444247004357298,0.427824833770871,0.466977072208869,0.380616425061551,0.391461275927922,0.409091575137581,0.277507448508355,0.392755518494165,0.424819565996397,0.415992249652199,0.449713303963827,0.40470142438019,0.388160478019633,0.410353292001732,0.33158100570587,0.309335911527241
"SEEDWAY_9558_SBR",1,135,1,14,1.88,0.6,0.47,2.95,0.223001059785835,0.194910356788979,0.0923018525255551,0.510596798,0.53389448232123,0.503002083233942,0.475867361610964,0.349111978838645,0.246772766132409,0.504865562678063,0.458851244094414,0.498066202257757,0.399269025088352,0.403314732353887,0.422654521400746,0.261342504255332,0.376554618297173,0.418808926189825,0.423950332821301,0.477682769344297,0.413556868824152,0.404306468041762,0.427091165233217,0.341039929636104,0.321648551462107
"FSG_415BR",1,136,1,13,1.93,0.65,0.55,3.13,0.228931939035458,0.211152886521394,0.108012806146926,0.514260345458126,0.551465699487342,0.527992735924093,0.458211144032581,0.297215772754818,0.222370078493917,0.545332920808034,0.490095244160457,0.537877549860384,0.437338387462728,0.442717996617629,0.456188182543221,0.266379768720862,0.375393277275939,0.423894942923406,0.431076798610459,0.50763275602018,0.450424013999192,0.442411294781957,0.488436975,0.385499684164426,0.368447911906161
"NY1615",1,137,1,12,2.14,0.72,0.54,3.4,0.253841631883876,0.233892428146775,0.106048936944255,0.481528246664374,0.537484673114529,0.526532290126107,0.449963601122648,0.331378656192865,0.227015877313718,0.538889019817329,0.49157237777825,0.544102052847251,0.44575179423573,0.487677028381266,0.491108334013652,0.282583425708869,0.381483011373715,0.411573509570638,0.431974274571152,0.500522153904665,0.436188606984833,0.435256121120847,0.478857734874772,0.372474864643757,0.365266262
"REBOUND_6XT",1,138,1,11,1.74,0.7,0.47,2.9,0.20639459788689,0.227395416253809,0.0923018525255551,0.49784053506625,0.546188494265631,0.530982936564731,0.384849575837033,0.314576677468729,0.237325852,0.565845745349422,0.502037324011765,0.548444514953918,0.450480656,0.49610171214098,0.484562617616706,0.283972188401671,0.388283539,0.411394300009822,0.439942195516199,0.527326982,0.45186894718026,0.455177734,0.459632291272673,0.348424805876989,0.350036230409119
"NY0465",1,139,1,10,1.8,0.69,0.53,3.02,0.213511652986438,0.224146910307326,0.104085067741583,0.477542408642079,0.527673220231489,0.52865750679834,0.367123326521155,0.346885048244105,0.235885167464115,0.498492489944696,0.448930213249741,0.518104609216269,0.42804236563571,0.450845828527489,0.456625052070577,0.31841792296432,0.395356096032936,0.391978893851175,0.417604306657643,0.482878528566599,0.452606366726706,0.464491051000271,0.467928045009774,0.354286172546728,0.367209715720198
"WL_349HQ",1,140,1,9,1.74,0.67,0.49,2.9,0.20639459788689,0.21764989841436,0.0962295909308978,0.505424150330697,0.544590320519288,0.518300653594771,0.362195529373194,0.329940925822019,0.229691841010726,0.551154657910173,0.484907173503348,0.535822694627153,0.434194169868137,0.458758295989563,0.448672854,0.319179636296222,0.395000140816959,0.396384104972788,0.433871235197175,0.517476413,0.43183745189225,0.466003740518955,0.443587960674466,0.32779368672548,0.353062487278648
"FSG_421LH",1,141,1,8,1.62,0.56,0.46,2.63,0.192160487687794,0.181916333003047,0.0903379833228837,0.497810176198648,0.539508086253369,0.523261453811046,0.30978157353948,0.295641259553591,0.20631908561916,0.518381828105975,0.46052261636039,0.524993043461573,0.406929770337897,0.42269691,0.421203453,0.305522013594213,0.393999557474822,0.410001511715797,0.429501171340081,0.470322536342123,0.380856046559762,0.446383364279653,0.429266501120996,0.326105307339519,0.354461682009097
"SW3407",1,142,1,7,1.59,0.57,0.49,2.66,0.18860196013802,0.18516483894953,0.0962295909308978,0.510008399016449,0.552833492,0.527709714867293,0.349227585254322,0.306665216213018,0.223252212527754,0.551507510055304,0.482372400421735,0.523837898261825,0.412392440503125,0.434691942457243,0.422206278786639,0.346363012601372,0.402176884214565,0.443022176367174,0.434518069522891,0.502947765127556,0.428385707276193,0.474827741741889,0.447202834074806,0.340745705235059,0.363573698069683
"SW5606",1,143,1,6,1.64,0.54,0.47,2.65,0.194532839387643,0.175419321110081,0.0923018525255551,0.552365764574601,0.548564425770308,0.533540861600114,0.353898982076808,0.304121538672678,0.214048519014833,0.560451100846321,0.503468580984661,0.548778287923929,0.411990656693582,0.423486631875508,0.427336163460794,0.349594895922398,0.389648639980907,0.429507002113982,0.440418280244703,0.504783496732026,0.434019253231668,0.477457051029209,0.460773219091558,0.350123183685075,0.351325055973947
"EZRA",1,144,1,5,1.89,0.6,0.55,3.04,0.224187235635759,0.194910356788979,0.108012806146926,0.511715123639126,0.561182944876064,0.529994116056804,0.361441246687709,0.325584093867253,0.2112427326128,0.534309365320828,0.487509641171517,0.514765679656626,0.412202383067009,0.443470892507129,0.429567924105694,0.329783185027692,0.392062943956075,0.434757088302157,0.427281975446499,0.494791439122068,0.465428131834412,0.497257326620853,0.477723582583718,0.3737001921051,0.354138815387747
