"Germplasm","Rep","Row","Range","Plot","yld1","yld2","yld3","tot23","sca_yld1","sca_yld2","sca_yld3","GNDVI_125","NDVI_125","GNDVI_136","NDVI_136","GNDVI_144","NDVI_144","GNDVI_150","NDVI_150","GNDVI_152","NDVI_152","GNDVI_156","NDVI_156","GNDVI_164","NDVI_164","GNDVI_166","NDVI_166","GNDVI_172","NDVI_172","GNDVI_177","NDVI_177","GNDVI_179","NDVI_179","GNDVI_186","NDVI_186","GNDVI_198","NDVI_198","GNDVI_213","NDVI_213","GNDVI_223","NDVI_223","GNDVI_228","NDVI_228","GNDVI_244","NDVI_244","GNDVI_248","NDVI_248","GNDVI_251","NDVI_251","GNDVI_255","NDVI_255"
"SW4412Y","1","1","36","113",1.43,1.46,0.67,3.56,0.170604702767547,0.180668661550415,0.175817377759774,0.22474540713312,0.495098275000236,0.179327230675162,0.404657498557791,0.197250189717417,0.477897187213228,0.345251991602462,0.617500596651216,0.0360286057763347,0.351491979949023,0.0634109112766034,0.408974519632414,0.132747436512947,0.417659440143672,0.139081742740588,0.440369867480375,0.185369550464465,0.486480478156175,0.172900432243267,0.563270524068658,0.184179797492431,0.497511615087802,0.258701956106475,0.567185204564207,0.245267769446071,0.435186570653699,0.13200035254935,0.423139437593219,0.264112661756949,0.563480199750642,0.209973508091252,0.516856328434458,0.259026674921267,0.463721475486181,0.213406418505137,0.395119054145423,0.174142619471057,0.326323925508181,0.200807947965779,0.361671748345356
"AMERISTAND_427_TQ","1","1","35","114",1.42,1.64,0.66,3.72,0.169411662888054,0.202942880097727,0.17319323779321,0.205036273554287,0.488780545888389,0.167212647711649,0.410882632078456,0.177443216736161,0.478544337443006,0.329350129161466,0.607993870193817,0.0434518487424748,0.352639753228176,0.0872543624923315,0.40857201258332,0.143765608066437,0.442176580331376,0.154670856531102,0.462105508060689,0.204008372097005,0.526392592592593,0.171051949622514,0.569227162230531,0.182759282440018,0.503169051404346,0.243225937493453,0.557416388838578,0.239827289722108,0.456779345222252,0.154064757653627,0.451149671990008,0.27227394687772,0.582946431909087,0.226793226551311,0.541950035031144,0.271424624279523,0.471866187552462,0.224177151258712,0.412163640540313,0.182461703819181,0.336902483203371,0.198906244589258,0.378101201149093
"VERNAL","1","1","34","115",1.04,1.08,0.56,2.68,0.124076147467307,0.133645311283869,0.146951838127573,0.10523312489928,0.407133072084052,0.108608593073825,0.339482757899405,0.15755785624138,0.456745690977121,0.301954266875841,0.583847458265818,0.0392357452768913,0.367305867613665,0.0658483203228242,0.417926618905889,0.0366035301888506,0.39772590504927,0.0279332703036786,0.399466295968708,0.0979352197414483,0.437220806100218,0.126664414387895,0.532680895366996,0.131828775826549,0.462181325710737,0.218361932936591,0.54439112729011,0.237797709376085,0.450547858783153,0.0376541772419421,0.339058918253292,0.183092043619882,0.509482438259592,0.179281610596804,0.503766567811657,0.250206158685523,0.442007630242924,0.220923341138912,0.403916253648512,0.178526624977134,0.36047557619539,0.179580911472694,0.379953397288119
"HI-GEST_360","1","1","33","116",1.52,1.56,0.66,3.74,0.181342061682987,0.193043227410033,0.17319323779321,0.203225118211458,0.492318139376963,0.165005625526473,0.410558584711961,0.188495442788149,0.488795157393142,0.348267829335488,0.614670836944643,0.0591393999421062,0.344216029833405,0.0974482475837244,0.40640375448425,0.167136896030997,0.458726440247872,0.165665119337311,0.469999853999679,0.202100445406543,0.523548976608187,0.181454015659184,0.567673568935932,0.18274503704368,0.495613609120578,0.253569848843572,0.554874904688754,0.259402793560401,0.475025442703033,0.146702995622765,0.440327852880283,0.235328538526191,0.58107118590399,0.228714849699291,0.554988092153161,0.277428594086442,0.47093097681333,0.240831534511592,0.412854156858196,0.209121591694276,0.348015995872033,0.228484070302399,0.41019627123219
"55V50","1","1","32","117",1.74,1.73,0.83,4.3,0.20758893903184,0.214079989371383,0.217803617224795,0.236110479273763,0.511843575814164,0.188667559609422,0.418685077321026,0.206113494398347,0.493020200781042,0.353649910017996,0.61781462360729,0.0399747484458261,0.349780529517165,0.069742597607006,0.392758857929137,0.124272689042424,0.391161456279418,0.139324316778609,0.429124561216892,0.19825623185017,0.51323082788671,0.192713716970496,0.578359061686349,0.193133350822223,0.496738877915348,0.261821780553495,0.551633092511723,0.267957133018252,0.460258409670174,0.127304483089102,0.396341980270369,0.207503163597538,0.564452298676898,0.235768301523264,0.550737682987425,0.282374363160264,0.476461641167523,0.244822875092785,0.416920833987231,0.224556572609288,0.384406219356054,0.239414077273406,0.419995538038224
"PLUSS_III","1","1","31","118",1.34,1.57,0.57,3.48,0.159867343852107,0.194280683995995,0.149575978094136,0.230405329202341,0.517845943091041,0.162486860199059,0.394098068499856,0.183005866004803,0.481484774244606,0.335856373161319,0.611028411364546,0.0434660694762588,0.350713151568933,0.0660245631305755,0.39687097646076,0.131690301394667,0.421384047068609,0.146079306502468,0.450142934314456,0.195843383195458,0.522567102396514,0.182121688556208,0.5718155456015,0.185182856582146,0.501362240405472,0.253509788305785,0.54817158931083,0.243815222508955,0.448435599951985,0.149591767941562,0.441197905249056,0.196502933899143,0.555612874285073,0.229885023829385,0.53774207480349,0.254382197170346,0.438118816550189,0.202795799086167,0.363799499296457,0.184027501254877,0.327541761408647,0.205181557909229,0.389902084727696
"WL_358LH","1","1","30","119",1.09,1.22,0.47,2.78,0.130041346864774,0.150969703487333,0.123334578428498,0.215638444097539,0.470897938299899,0.171958006726612,0.369376035134079,0.199525848384482,0.480655911999836,0.332639863299037,0.600242008568133,0.056982873937,0.330088592861571,0.0834973158999307,0.395071865512032,0.113056380012881,0.360124528315539,0.119983695989152,0.393216110789729,0.181127220497586,0.498352898176815,0.1740739655324,0.568749411268932,0.172203208512389,0.483047099386969,0.256078723637417,0.543557406997467,0.258919962527282,0.472118000353294,0.146170537115134,0.413778602350031,0.188863819631672,0.544659977989886,0.222361309701327,0.526261841006594,0.256134877857207,0.441526782703253,0.218617661306705,0.387016655635691,0.184329090028041,0.327699771762822,0.204685531422469,0.379779050263173
"NY1614","1","1","29","120",1.36,1.47,0.63,3.46,0.162253423611094,0.181906118136377,0.165320817893519,0.213723242185314,0.482561374718238,0.166661633464588,0.391089245597962,0.190579330260246,0.483979322944292,0.313377270061524,0.602971448669154,0.0659769110122644,0.352581446015099,0.068321205783627,0.399755270529264,0.0662034091066415,0.368090467628099,0.0793531526244734,0.39221175886587,0.155381239032072,0.483156862745098,0.161875255572882,0.567930889169827,0.161234577013267,0.486156605029745,0.237887295107799,0.551712248361541,0.246734032246102,0.463888584446288,0.0885226448439724,0.369261711418574,0.144634972479284,0.515441533796428,0.189053828589287,0.512178087093868,0.256733402969634,0.452797793974265,0.231096349859338,0.407839151020697,0.190330463767321,0.351327399380805,0.186709489824953,0.396694677871148
"LANDER","1","1","28","121",1.29,1.5,0.74,3.53,0.15390214445464,0.185618487894262,0.194186357525721,0.202886337647618,0.48007938865782,0.153530585385833,0.378233329818271,0.174126436651667,0.479894975021639,0.295234944794609,0.601174712037281,0.0506159113370042,0.372212047957415,0.0754213801319338,0.402965355987297,0.0872530621915763,0.37589473823849,0.0948803822727282,0.409201488814704,0.148599938164301,0.493588126361656,0.158731943046312,0.560423499796394,0.145266032991151,0.488068817480582,0.222590360625313,0.537577103039997,0.256566564649264,0.476377722260075,0.0931800694794881,0.377190391308038,0.165199050014316,0.540883907728828,0.205274824880441,0.538840155945419,0.266804477405983,0.479638997286056,0.236541285138418,0.424925000739189,0.191501117592086,0.374347265221878,0.168865514904332,0.406209150326797
"LIGHTNING_BOLT","1","1","27","122",1.79,1.83,0.71,4.33,0.213554138429307,0.226454555231,0.186313937626029,0.252488175251102,0.550665383998717,0.205716766560247,0.441442829583589,0.206151234413485,0.482426523206964,0.319546825857232,0.607808971122081,0.0444638241724491,0.400155822414691,0.0608192798174763,0.414709076613101,0.121174474387994,0.436003938693381,0.139773582115617,0.462424968001596,0.187001006757894,0.52358735380117,0.188488705527565,0.573267192339491,0.178386154727191,0.499553770638108,0.245452890057731,0.547439621304104,0.23903769327846,0.454653535622394,0.130900558935487,0.438704451477561,0.181593343210768,0.537849492157522,0.219138333285707,0.531155616431595,0.271682519867705,0.470261552614494,0.236050356697724,0.411454473913449,0.204916081091654,0.365663054695562,0.135429083798649,0.375644629533229
