"Germplasm","Rep","Row","Range","Plot","yld1","yld2","yld3","tot23","sca_yld1","sca_yld2","sca_yld3","GNDVI_125","NDVI_125","GNDVI_142","NDVI_142","GNDVI_145","NDVI_145","GNDVI_150","NDVI_150","GNDVI_152","NDVI_152","GNDVI_156","NDVI_156","GNDVI_164","NDVI_164","GNDVI_166","NDVI_166","GNDVI_172","NDVI_172","GNDVI_178","NDVI_178","GNDVI_184","NDVI_184","GNDVI_187","NDVI_187","GNDVI_193","NDVI_193","GNDVI_198","NDVI_198","GNDVI_213","NDVI_213","GNDVI_223","NDVI_223","GNDVI_228","NDVI_228"
"ALGONQUIN","1","1","16","113",2.35,1.49,0.95,4.79,0.211308258951295,0.259651307978239,0.17265532801091,0.219641497350842,0.460396048,0.312102688947598,0.649239056,0.292558769544837,0.614662309,0.2568957283435,0.571299544,0.229070908114189,0.489290205,0.255971496231477,0.509786062,-0.0699115792928001,0.457490509,-0.145805394350465,0.533622707,0.0501736644721164,0.350958766,0.243074184238764,0.500064618,0.229738732619956,0.504206547,0.196054908320285,0.511848596,0.230226503313054,0.53043345,0.238234400913648,0.473712592,0.10581393903788,0.345363619,0.199671782426494,0.46854752,0.167085968959166,0.436374698
"SW315_LH","1","1","17","114",2.44,1.48,1.06,4.98,0.219400915677089,0.257908681750197,0.192646997570069,0.224911484002348,0.447807879,0.307812291552341,0.63524328,0.293995866645058,0.605731535,0.276832431469076,0.559563621,0.250149336872524,0.482408243,0.277461439471218,0.504332777,-0.0774312840736073,0.433393062,-0.150781191087026,0.531976037,0.0222550685394389,0.365513677,0.232043129127403,0.467084019,0.238273074884686,0.490094072,0.211937962575529,0.498029299,0.255316527964845,0.527115582,0.277461713618554,0.482693391,0.0907219189853404,0.331988956,0.200825366149309,0.447833583,0.170911482329981,0.424695951
"NY0465","1","1","18","115",2.58,1.64,1.23,5.45,0.231989492806102,0.285790701398867,0.223543214161495,0.211720596854546,0.463743887,0.292686621846698,0.638461911,0.290975773979748,0.609388337,0.26491269573668,0.562973781,0.231562784875785,0.480187538,0.258629529771385,0.501837478,-0.0797077933805135,0.459087561,-0.149973658614672,0.522694471,0.0534750677860414,0.369452019,0.250772128826245,0.494327361,0.23721408547887,0.493193031,0.216726813806466,0.505535394,0.254731763654331,0.532455734,0.274175714045466,0.483458533,0.104676429210192,0.357561094,0.211582642362069,0.466192374,0.176680632325942,0.447248165
"HI-GEST_360","1","1","19","116",2.24,1.6,1.05,4.9,0.201417234064213,0.278820196486699,0.190829573064691,0.220116023853191,0.473963706,0.272503004061431,0.624266567,0.283228395897817,0.598203597,0.262384818990692,0.556894899,0.23496365841324,0.47364045,0.269341511259095,0.506198072,-0.0831233001515524,0.44059281,-0.13935590346816,0.478432954,0.0967588038025524,0.379915481,0.293304904673813,0.525456553,0.256171766542256,0.511852078,0.240161458769684,0.515311988,0.281169198715851,0.533932368,0.278616017026873,0.473408982,0.140121883056813,0.397619734,0.240415199620949,0.49598037,0.199336641215681,0.463108099
"N-R-GEE","1","1","20","117",2.52,1.47,0.9,4.89,0.226594388322239,0.256166055522155,0.16356820548402,0.224327804782107,0.48796557,0.266970832629592,0.619557729,0.291970112378771,0.592258931,0.252675619863376,0.542595941,0.227716801224341,0.472785879,0.253942808860516,0.49839071,-0.0807839076065946,0.466284556,-0.143969307926518,0.491335705,0.091847265789058,0.363618592,0.273149804392236,0.515374298,0.243281070788473,0.49312725,0.231981475042747,0.504050185,0.275498062616428,0.516685759,0.255611563505809,0.454705811,0.122068467368438,0.384750142,0.215849708785512,0.450070028,0.186768068125578,0.429206742
"PLUSS_III","1","1","21","118",2.16,1.63,1.05,4.84,0.194223761419062,0.284048075170825,0.190829573064691,0.23999590517543,0.497528305,0.267388865233606,0.623112251,0.303038633086409,0.599495883,0.25605685856212,0.551475235,0.233688027881592,0.476415112,0.263730885323106,0.508842631,-0.0756117554841922,0.443831639,-0.125191148645472,0.424111379,0.126944676048398,0.395028114,0.302097362957287,0.528550531,0.25653998158229,0.494591178,0.249238644069809,0.51798434,0.284930705269755,0.517772751,0.267171535397087,0.462054031,0.129440446729348,0.402397928,0.240541575432406,0.492690925,0.205241429275623,0.459349445
"SEEDWAY_9558_SBR","1","1","22","119",2.7,1.66,1.22,5.57,0.242779701773828,0.28927595385495,0.221725789656117,0.240030829320665,0.499272383,0.263098184520087,0.618630145,0.297905667902616,0.587696339,0.251369601008801,0.534678687,0.233665077363464,0.478369543,0.258032630023067,0.504122197,-0.0887416890798468,0.475149819,-0.140495071065212,0.476428789,0.0902100777775539,0.364137614,0.278812648128194,0.505280186,0.240829588417456,0.484291185,0.230958859812891,0.499739482,0.277382541173771,0.511497305,0.261386213082775,0.450729557,0.0845815427228077,0.347990127,0.225426786779994,0.472451358,0.194969822340687,0.45757292
"NY1517","1","1","23","120",2.51,1.38,1.13,5.02,0.225695204241596,0.240482419469778,0.205368969107715,0.245049948683343,0.492936193,0.268218702051337,0.625525538,0.304983323715327,0.596920494,0.251006039396521,0.537316505,0.238268424199433,0.479517412,0.258368168466007,0.499549793,-0.0941153859096475,0.476439346,-0.141240992072388,0.500239312,0.0605649783424737,0.374830215,0.263625793880937,0.488486209,0.236716946412565,0.473348399,0.225062162881107,0.496553361,0.268375220105831,0.502896828,0.295168875999149,0.496818736,0.0507753893475925,0.324970936,0.207816191753381,0.458722766,0.184210328872328,0.437739726
"SW5606","1","1","24","121",2.55,1.69,1.1,5.35,0.229291940564171,0.294503832539076,0.199916695591581,0.27689722490171,0.524763738,0.279744875171126,0.631948146,0.314347707803869,0.601626692,0.285525466448106,0.554770342,0.274918440659097,0.500395287,0.278998887117169,0.500575377,-0.0748366026223311,0.440655606,-0.10784008660495,0.428154472,0.143697037000804,0.401791203,0.339557189135185,0.536369214,0.277078956236154,0.495712984,0.266412755886134,0.510891036,0.299214095546489,0.510369819,0.291170007431136,0.474500363,0.116526489972059,0.38706218,0.26139760429797,0.502218619,0.225435231386034,0.464152815
"EZRA","1","1","25","122",2.72,1.69,1.13,5.54,0.244578069935116,0.294503832539076,0.205368969107715,0.240852399731301,0.506724841,0.261078861177602,0.620968365,0.305090947530477,0.593888889,0.260235408290976,0.543905828,0.24872724911967,0.498131386,0.245446662418256,0.487449527,-0.0951886209736871,0.460730098,-0.137884247099928,0.486833808,0.0990991131045873,0.365200821,0.268581936107162,0.529370415,0.241008393302303,0.487790926,0.226871047466965,0.499208888,0.252585393576621,0.495819085,0.263844867586496,0.464484532,0.0744665122432651,0.340982978,0.215426309004225,0.477976877,0.190946017017149,0.454150985
"FSG_421LH","1","1","26","123",2.57,1.77,1.19,5.53,0.231090308725458,0.308444842363411,0.216273516139983,0.254937797293209,0.48062186,0.298669419202122,0.63095831,0.338851777205843,0.598733424,0.279607690589481,0.539391781,0.276477804704358,0.486230614,0.273347657045232,0.48053472,-0.0927040842413297,0.455790301,-0.136412020799739,0.472869495,0.102669135256957,0.371458946,0.267060465058043,0.547700117,0.258176747533253,0.461559913,0.247047000452656,0.484672351,0.269628653650452,0.482514816,0.267875456548664,0.446280383,0.0884276907875677,0.339475545,0.243457626583684,0.474071014,0.215474536056743,0.454037729
"ONEIDA_VR","1","1","27","124",2.61,1.53,1.03,5.17,0.234687045048034,0.266621812890406,0.187194724053935,0.212469927410278,0.478283413,0.261860737854426,0.630899864,0.300427122443933,0.596024114,0.239245833331955,0.53902667,0.235696451952421,0.494688579,0.234557960747683,0.492960481,-0.109610081106779,0.489635395,-0.158144971893178,0.510721063,0.0703000678957893,0.368287853,0.205871557588637,0.533541268,0.22262494607144,0.459570237,0.205587996192029,0.481976472,0.216077621052412,0.472067323,0.249125410434234,0.479975163,0.0507343542431798,0.324334619,0.20174442707102,0.464942505,0.174133894759601,0.443257771
"PERSIST_III","1","1","28","125",2.71,1.64,1.07,5.41,0.243678885854472,0.285790701398867,0.194464422075447,0.230221054574583,0.488491691,0.283476664146224,0.64637004,0.308669123432853,0.604925484,0.251607478243042,0.555784314,0.243484592666295,0.503290987,0.25425402833685,0.50511332,-0.10387585378894,0.45947595,-0.153209901674087,0.484609266,0.0877767022333463,0.379415458,0.2292653938127,0.563148222,0.242593793074551,0.473168096,0.223416652712684,0.497222237,0.225273781421391,0.48200059,0.234903181895917,0.446559768,0.0658175421786572,0.344096809,0.218891923289153,0.484151859,0.183182491556056,0.452106711
"ONEIDA_ULTRA","1","1","29","126",2.44,1.53,1.05,5.01,0.219400915677089,0.266621812890406,0.190829573064691,0.219208563140796,0.470704121,0.278837208885535,0.64100378,0.294974827298447,0.596872743,0.235165854312466,0.537671644,0.22879858388136,0.487594974,0.242006785494518,0.491725291,-0.0950940415907075,0.477742043,-0.155615646752585,0.505172453,0.0813212187554436,0.374472572,0.225610316932722,0.523176678,0.237565940044002,0.474443333,0.209914402919828,0.48790702,0.214096431675063,0.471786866,0.228266255837272,0.446934771,0.0575699829635119,0.327183913,0.200141753614082,0.465187122,0.161642090947411,0.432695033
"WL_349HQ","1","1","30","127",2.38,1.72,1.09,5.19,0.214005811193226,0.299731711223202,0.198099271086203,0.236380195643211,0.502180037,0.291484993208009,0.636828517,0.304346371504843,0.592575432,0.255268939085546,0.546033055,0.242201621297583,0.492251657,0.250045119564347,0.48487896,-0.0625512161080398,0.421108257,-0.110372268127686,0.400318627,0.15530025952444,0.430075744,0.300204606735567,0.54117484,0.266275740104417,0.488245644,0.226382760689434,0.491575551,0.234486782819948,0.468930256,0.229986806097959,0.427192012,0.102951507268838,0.376053052,0.234543529639012,0.491677453,0.184929229637689,0.447932929
"FSG_415BR","1","1","31","128",2.71,1.51,1.13,5.36,0.243678885854472,0.263136560434322,0.205368969107715,0.237793920956971,0.49826302,0.298146157630495,0.647812817,0.309150923444979,0.599205413,0.257194988896689,0.551194351,0.240658295617268,0.496704491,0.251987503992818,0.496592155,-0.0864719671877539,0.4847816,-0.143971586851833,0.516383743,0.08312981374609,0.382497031,0.265278683016077,0.504800142,0.247432275624581,0.483385225,0.199841844672355,0.473896771,0.222652693997725,0.472419674,0.244563868162464,0.46597923,0.0616254037724321,0.348490214,0.212194796362858,0.47428945,0.170659884461784,0.4365758
"GUARDSMAN_II","1","1","32","129",2.49,1.6,1.08,5.16,0.223896836080308,0.278820196486699,0.196281846580825,0.237142368506421,0.492202203,0.294766709224178,0.640169904,0.304667451892164,0.594561883,0.254067572256785,0.544121695,0.237284360377077,0.482816921,0.245837268148262,0.484633941,-0.0872082385675439,0.484323068,-0.13408235833721,0.499507906,0.0756431953232377,0.392211784,0.261049800643196,0.5010831,0.247198058624501,0.479159795,0.201363958666351,0.469039106,0.229363060580305,0.474842393,0.257795016337322,0.470116504,0.0664736402076844,0.346867505,0.220180788473246,0.478905606,0.176173187180014,0.439735794
"AMERISTAND_427_TQ","1","1","33","130",2.32,1.69,1,5.01,0.208610706709363,0.294503832539076,0.1817424505378,0.257517436281044,0.52150895,0.295940899451558,0.63636533,0.307402575609345,0.58920679,0.253848092474206,0.54222657,0.231658147330106,0.477208295,0.255799033661498,0.494066088,-0.0843103697421412,0.440838934,-0.0991104146795268,0.434538267,0.120942122987175,0.394617749,0.295173005131069,0.532529456,0.254606257602665,0.478310839,0.218100669475217,0.476901206,0.246589200557275,0.477150342,0.270453682493694,0.477386056,0.0977220000271533,0.377082647,0.235371457417712,0.496470065,0.179985891985079,0.437738854
"LIGHTNING_BOLT","1","1","34","131",2.57,1.73,1.06,5.36,0.231090308725458,0.301474337451244,0.192646997570069,0.250890253360117,0.513647123,0.297864268420221,0.637905026,0.315594379463566,0.591719939,0.255085339253312,0.543904629,0.229864867926922,0.479162909,0.258031536431335,0.497369418,-0.0814024876665409,0.443741433,-0.0937433941502441,0.436302797,0.099640780663607,0.372153972,0.279160160263116,0.519718258,0.237573198283216,0.479633144,0.214070527054837,0.480461393,0.234792269700011,0.470962878,0.251887226189739,0.449112854,0.0990737626453966,0.357181395,0.22676695296363,0.489835388,0.181343861810053,0.444779905
