Time,h2_ndvi,h2_ndvi_spa,h2_gndvi,h2_gndvi_spa,h2_ndre,h2_ndre_spa
125,0.03,0.47,0.03,0.75,0.28,0.42
136,0.09,0.38,0.35,0.35,0.07,0.39
144,0.03,0.08,0.33,0.99,0.33,0.79
150,0.02,0.26,0.21,0.94,0.49,0.91
152,0.25,0.99,0.09,0.61,0,0
156,0.04,0.87,0.06,0.41,0.08,0.98
164,0.69,0.84,0.74,0.99,0.19,0.2
166,0.69,0.86,0.7,0.99,0.13,0.18
172,0.61,0.81,0.69,0.99,0.73,0.83
177,0.2,0.46,0.52,0.96,0.57,0.99
179,0.5,0.7,0.75,0.96,0.58,0.89
186,0.02,0.64,0.4,0.94,0.41,0.74
192,0.06,0.39,0,0.33,0.11,0.25
195,0.01,0,0,0.98,0.1,0.23
198,0.04,0.3,0.12,0.49,0.09,0.31
213,0.65,0.85,0.79,0.95,0,0
223,0.44,0.86,0.43,0.43,0.55,0.83
228,0.53,0.76,0.45,0.99,0.41,0.86
244,0.49,0.99,0.29,0.99,0.44,0.91
248,0.28,0.28,0.06,0.99,0.08,0
251,0.38,0.78,0.21,0.95,0.09,0.66
255,0.48,0.68,0.15,0.99,0.25,0.82
