Time,h2_ndvi,h2_ndvi_spa,h2_gndvi,h2_gndvi_spa,h2_ndre,h2_ndre_spa
125,0.09,0.99,0.06,0.99,0.51,0.97
142,0.26,0.97,0.15,0.99,0.65,0.78
145,0.29,0.72,0.08,0.99,0.4,0.42
150,0.17,0.97,0.39,0.99,0.56,0.76
152,0.2,0.99,0.63,0.99,0.34,0.8
156,0,0,0.28,0.91,0.1,0.52
164,0.32,0.84,0,0.99,0.06,0.99
166,0.64,0.99,0.19,0.99,0.01,0.69
172,0.39,0.79,0.83,0.95,0.52,0.82
178,0.47,0.96,0.65,0.99,0.28,0.82
184,0.06,0.99,0.72,0.99,0.32,0.99
187,0.01,0.99,0.36,0.99,0.42,0.99
193,0,0.96,0.19,0.99,0.15,0.67
198,0,0.64,0.05,0.9,0,0.47
213,0.69,0.93,0.56,0.99,0.15,0.24
223,0.13,0.99,0.31,0.99,0.47,0.88
228,0.15,0.66,0.49,0.99,0.54,0.95
