"","Germplasm","Rep","Row","Range","Plot","yld1","yld2","yld3","tot23","GNDVI_125","NDRE_125","NDVI_125","GNDVI_136","NDRE_136","NDVI_136","GNDVI_144","NDRE_144","NDVI_144","GNDVI_150","NDRE_150","NDVI_150","GNDVI_152","NDRE_152","NDVI_152","GNDVI_156","NDRE_156","NDVI_156","GNDVI_164","NDRE_164","NDVI_164","GNDVI_166","NDRE_166","NDVI_166","GNDVI_172","NDRE_172","NDVI_172","GNDVI_177","NDRE_177","NDVI_177","GNDVI_179","NDRE_179","NDVI_179","GNDVI_186","NDRE_186","NDVI_186","GNDVI_192","NDRE_192","NDVI_192","GNDVI_195","NDRE_195","NDVI_195","GNDVI_198","NDRE_198","NDVI_198","GNDVI_213","NDRE_213","NDVI_213","GNDVI_223","NDRE_223","NDVI_223","GNDVI_228","NDRE_228","NDVI_228","GNDVI_244","NDRE_244","NDVI_244","GNDVI_248","NDRE_248","NDVI_248","GNDVI_251","NDRE_251","NDVI_251","GNDVI_255","NDRE_255","NDVI_255","GNDVI_263","NDRE_263","NDVI_263","GNDVI_274","NDRE_274","NDVI_274","GNDVI_278","NDRE_278","NDVI_278","GNDVI_300","NDRE_300","NDVI_300","GNDVI_305","NDRE_305","NDVI_305"
"1","SW4412Y",1,1,36,113,1.43,1.46,0.67,3.56,0.22474540713312,0.303444812268342,0.495098275000236,0.179327230675162,0.237173063045739,0.404657498557791,0.197250189717417,0.388550417161283,0.477897187213228,0.345251991602462,0.458820514752986,0.617500596651216,0.0360286057763347,0.454606726801466,0.351491979949023,0.0634109112766034,0.38656666175242,0.408974519632414,0.132747436512947,0.296521339389147,0.417659440143672,0.139081742740588,0.302905406391894,0.440369867480375,0.185369550464465,0.280503095975232,0.486480478156175,0.172900432243267,0.35582571354533,0.563270524068658,0.184179797492431,0.370243719977951,0.497511615087802,0.258701956106475,0.417004644257064,0.567185204564207,0.266555580467657,0.379113726575451,0.475972184916585,0.27190954573806,0.386428649754721,0.448094147440553,0.245267769446071,0.380095493417293,0.435186570653699,0.13200035254935,0.275254829204409,0.423139437593219,0.264112661756949,0.44002884993854,0.563480199750642,0.209973508091252,0.293872333074199,0.516856328434458,0.259026674921267,0.433841939724293,0.463721475486181,0.213406418505137,0.363342196151527,0.395119054145423,0.174142619471057,0.241958386324611,0.326323925508181,0.200807947965779,0.212189583798121,0.361671748345356,0.0359218635581645,0.328361858813845,0.320514134034715,0.191960878143333,0.224046699391111,0.416027332957807,0.201630677020522,0.346773173121747,0.529947626794531,0.155114000685059,0.242116356239257,0.434170957661975,0.0435828749957455,0.357556962649149,0.347568869605744
"2","AMERISTAND_427_TQ",1,1,35,114,1.42,1.64,0.66,3.72,0.205036273554287,0.301297993945053,0.488780545888389,0.167212647711649,0.275922362617936,0.410882632078456,0.177443216736161,0.340240037620888,0.478544337443006,0.329350129161466,0.391043448769642,0.607993870193817,0.0434518487424748,0.453684796922621,0.352639753228176,0.0872543624923315,0.364175927172293,0.40857201258332,0.143765608066437,0.305383805530331,0.442176580331376,0.154670856531102,0.317297732340725,0.462105508060689,0.204008372097005,0.303002178649237,0.526392592592593,0.171051949622514,0.355745258455805,0.569227162230531,0.182759282440018,0.350853313206254,0.503169051404346,0.243225937493453,0.393986838662937,0.557416388838578,0.247572118062301,0.376337259134631,0.475783837550131,0.260698043395455,0.387930738402779,0.450128794791104,0.239827289722108,0.364871668124263,0.456779345222252,0.154064757653627,0.329721706864564,0.451149671990008,0.27227394687772,0.463411813082304,0.582946431909087,0.226793226551311,0.30577677963011,0.541950035031144,0.271424624279523,0.443266464835092,0.471866187552462,0.224177151258712,0.37101150633087,0.412163640540313,0.182461703819181,0.255462062527566,0.336902483203371,0.198906244589258,0.219191875373552,0.378101201149093,0.0814499308876968,0.297601361984971,0.341983365127425,0.235214002627259,0.245362114750141,0.461216705560473,0.238835344806005,0.367283276726508,0.569401870403669,0.182223763546607,0.238352081990856,0.464335696093774,0.0623654856439255,0.33519595649205,0.382081870061457
"3","VERNAL",1,1,34,115,1.04,1.08,0.56,2.68,0.10523312489928,0.334734954587896,0.407133072084052,0.108608593073825,0.274137476624958,0.339482757899405,0.15755785624138,0.343288811875115,0.456745690977121,0.301954266875841,0.419857054929595,0.583847458265818,0.0392357452768913,0.45602571543064,0.367305867613665,0.0658483203228242,0.388588888390342,0.417926618905889,0.0366035301888506,0.337490668818115,0.39772590504927,0.0279332703036786,0.316304347298135,0.399466295968708,0.0979352197414483,0.255355991285403,0.437220806100218,0.126664414387895,0.278153739371855,0.532680895366996,0.131828775826549,0.287968824439413,0.462181325710737,0.218361932936591,0.369916255297243,0.54439112729011,0.251663834172752,0.394756780208036,0.483515338137414,0.254367305920777,0.405424964007695,0.452810797266708,0.237797709376085,0.359160168571933,0.450547858783153,0.0376541772419421,0.308212560386473,0.339058918253292,0.183092043619882,0.354796632121504,0.509482438259592,0.179281610596804,0.269505149098308,0.503766567811657,0.250206158685523,0.417817970759147,0.442007630242924,0.220923341138912,0.375923145404536,0.403916253648512,0.178526624977134,0.295145338837289,0.36047557619539,0.179580911472694,0.256423985523413,0.379953397288119,-0.0493866658354076,0.395283515368843,0.329484910231071,0.145330917946086,0.200821205913392,0.334689776129636,0.142850685981647,0.335142730066311,0.467260681565203,0.141850503353836,0.228329218106996,0.393355240861777,0.00537955297426601,0.391465322281828,0.339686306148115
"4","HI-GEST_360",1,1,33,116,1.52,1.56,0.66,3.74,0.203225118211458,0.297200911948219,0.492318139376963,0.165005625526473,0.273248682368656,0.410558584711961,0.188495442788149,0.364684245531618,0.488795157393142,0.348267829335488,0.436841642486591,0.614670836944643,0.0591393999421062,0.453003471364508,0.344216029833405,0.0974482475837244,0.343763207037201,0.40640375448425,0.167136896030997,0.319328956965718,0.458726440247872,0.165665119337311,0.330219341149217,0.469999853999679,0.202100445406543,0.282366271069831,0.523548976608187,0.181454015659184,0.37502217209401,0.567673568935932,0.18274503704368,0.365047116570859,0.495613609120578,0.253569848843572,0.390969972206011,0.554874904688754,0.25623218844724,0.370993242851801,0.49308485145334,0.267998768550446,0.384337725804683,0.468042546764406,0.259402793560401,0.404070310583643,0.475025442703033,0.146702995622765,0.321411764705882,0.440327852880283,0.235328538526191,0.410840276449259,0.58107118590399,0.228714849699291,0.321825787583756,0.554988092153161,0.277428594086442,0.426299332181685,0.47093097681333,0.240831534511592,0.380583663693989,0.412854156858196,0.209121591694276,0.315012899896801,0.348015995872033,0.228484070302399,0.24376964158328,0.41019627123219,0.0441037595003295,0.340628261443006,0.329923018794832,0.228639117664579,0.256088567334242,0.45622676055202,0.221470502099663,0.37011528289142,0.538407255187373,0.192080411940185,0.230907361379607,0.458163674859615,0.0647634428547662,0.327589460634443,0.343269980121191
"5","55V50",1,1,32,117,1.74,1.73,0.83,4.3,0.236110479273763,0.31573378509653,0.511843575814164,0.188667559609422,0.280069970411448,0.418685077321026,0.206113494398347,0.406887876805223,0.493020200781042,0.353649910017996,0.478342942558189,0.61781462360729,0.0399747484458261,0.460216512476327,0.349780529517165,0.069742597607006,0.397940628069178,0.392758857929137,0.124272689042424,0.294371382847991,0.391161456279418,0.139324316778609,0.305963953120697,0.429124561216892,0.19825623185017,0.292015468409586,0.51323082788671,0.192713716970496,0.39058922247313,0.578359061686349,0.193133350822223,0.387239431945314,0.496738877915348,0.261821780553495,0.402791473528629,0.551633092511723,0.26923456704388,0.3932621186629,0.486914701120599,0.282429420457699,0.419215603172822,0.468030780865005,0.267957133018252,0.398350114820703,0.460258409670174,0.127304483089102,0.303747655583973,0.396341980270369,0.207503163597538,0.374346003757768,0.564452298676898,0.235768301523264,0.341687688720712,0.550737682987425,0.282374363160264,0.470255129078658,0.476461641167523,0.244822875092785,0.404399653377184,0.416920833987231,0.224556572609288,0.366733039579667,0.384406219356054,0.239414077273406,0.27411516819117,0.419995538038224,0.0221017332100772,0.347886118309102,0.275876172151794,0.206540192473001,0.231816206646817,0.442750194469032,0.226302487722466,0.378542088839417,0.558830664725861,0.184156387859458,0.227216085522307,0.458063978847215,0.0600900494415054,0.366159033265047,0.356148058725978
"6","PLUSS_III",1,1,31,118,1.34,1.57,0.57,3.48,0.230405329202341,0.302338629054315,0.517845943091041,0.162486860199059,0.268716893200634,0.394098068499856,0.183005866004803,0.355565546098216,0.481484774244606,0.335856373161319,0.433396858743497,0.611028411364546,0.0434660694762588,0.468322356975852,0.350713151568933,0.0660245631305755,0.400218929677134,0.39687097646076,0.131690301394667,0.294573654789427,0.421384047068609,0.146079306502468,0.30907829997226,0.450142934314456,0.195843383195458,0.290764379084967,0.522567102396514,0.182121688556208,0.345533878749738,0.5718155456015,0.185182856582146,0.345764877692589,0.501362240405472,0.253509788305785,0.382492209260638,0.54817158931083,0.237072862322189,0.322473889717787,0.456686031131287,0.268351802825686,0.377161578765857,0.453578150904354,0.243815222508955,0.362402208687574,0.448435599951985,0.149591767941562,0.346012909511631,0.441197905249056,0.196502933899143,0.346112624706718,0.555612874285073,0.229885023829385,0.33963104184405,0.53774207480349,0.254382197170346,0.428196531137708,0.438118816550189,0.202795799086167,0.337027392504066,0.363799499296457,0.184027501254877,0.257651512231886,0.327541761408647,0.205181557909229,0.211905505565058,0.389902084727696,0.0528468560234834,0.327713998447888,0.31148868984131,0.227215921906493,0.275331822420048,0.473951854952325,0.216953303584332,0.361442784294698,0.545386186983284,0.185409893017416,0.241267891734176,0.457692177634789,0.0642182419404088,0.348822233457879,0.36006393372504
"7","WL_358LH",1,1,30,119,1.09,1.22,0.47,2.78,0.215638444097539,0.296324826226787,0.470897938299899,0.171958006726612,0.259541677263545,0.369376035134079,0.199525848384482,0.402892702093003,0.480655911999836,0.332639863299037,0.460300296589224,0.600242008568133,0.056982873937,0.465891578294806,0.330088592861571,0.0834973158999307,0.392191885653321,0.395071865512032,0.113056380012881,0.287857222967913,0.360124528315539,0.119983695989152,0.289605254274417,0.393216110789729,0.181127220497586,0.271498000515996,0.498352898176815,0.1740739655324,0.325149599662874,0.568749411268932,0.172203208512389,0.343632739493306,0.483047099386969,0.256078723637417,0.403200221815263,0.543557406997467,0.246896625832796,0.3707562423304,0.473825135748632,0.267757665543396,0.416779892715722,0.464271260527945,0.258919962527282,0.407017437605673,0.472118000353294,0.146170537115134,0.325388822195545,0.413778602350031,0.188863819631672,0.343900757507633,0.544659977989886,0.222361309701327,0.342788383096753,0.526261841006594,0.256134877857207,0.427820333702687,0.441526782703253,0.218617661306705,0.36078431372549,0.387016655635691,0.184329090028041,0.277895250696916,0.327699771762822,0.204685531422469,0.228919640619276,0.379779050263173,0.053623785664735,0.316188226119069,0.302596283850513,0.219370142562305,0.248973229769078,0.439686457333516,0.210189315356043,0.354979378942261,0.532773567942461,0.179318458514417,0.213920648071435,0.433896222651815,0.0569909680477201,0.354156452663915,0.351259600249943
"8","NY1614",1,1,29,120,1.36,1.47,0.63,3.46,0.213723242185314,0.305505569231059,0.482561374718238,0.166661633464588,0.27057961738141,0.391089245597962,0.190579330260246,0.365029340203235,0.483979322944292,0.313377270061524,0.384250920098981,0.602971448669154,0.0659769110122644,0.459157811585992,0.352581446015099,0.068321205783627,0.415142021720969,0.399755270529264,0.0662034091066415,0.315668782796962,0.368090467628099,0.0793531526244734,0.286971515337334,0.39221175886587,0.155381239032072,0.255092919389978,0.483156862745098,0.161875255572882,0.2881083760938,0.567930889169827,0.161234577013267,0.33252926143075,0.486156605029745,0.237887295107799,0.391244110827134,0.551712248361541,0.24294848316782,0.343360528237199,0.483392590711406,0.27575164716816,0.426452677634777,0.477148205954848,0.246734032246102,0.362863569702568,0.463888584446288,0.0885226448439724,0.268495411632667,0.369261711418574,0.144634972479284,0.281730644483879,0.515441533796428,0.189053828589287,0.279957057712953,0.512178087093868,0.256733402969634,0.42020982020982,0.452797793974265,0.231096349859338,0.35501047493766,0.407839151020697,0.190330463767321,0.316168300653595,0.351327399380805,0.186709489824953,0.26531370070152,0.396694677871148,-0.0165104084598942,0.370723949552525,0.294849612035625,0.197283398044653,0.234699121968657,0.4262886854634,0.189430779791819,0.313496922301186,0.521899943868863,0.183323413860158,0.214120470097272,0.456588542146123,0.0620501111414503,0.328415276558385,0.389994878548434
"9","LANDER",1,1,28,121,1.29,1.5,0.74,3.53,0.202886337647618,0.310988974714465,0.48007938865782,0.153530585385833,0.274675135898502,0.378233329818271,0.174126436651667,0.359392102339719,0.479894975021639,0.295234944794609,0.361317405886121,0.601174712037281,0.0506159113370042,0.462000057922326,0.372212047957415,0.0754213801319338,0.412836706002004,0.402965355987297,0.0872530621915763,0.300384583380065,0.37589473823849,0.0948803822727282,0.279294974448944,0.409201488814704,0.148599938164301,0.251875490196078,0.493588126361656,0.158731943046312,0.272843445748343,0.560423499796394,0.145266032991151,0.311496095025507,0.488068817480582,0.222590360625313,0.36346763740658,0.537577103039997,0.247669333305383,0.369030083701047,0.49297800069839,0.269233830619485,0.440692818767685,0.485572300545563,0.256566564649264,0.38024882024882,0.476377722260075,0.0931800694794881,0.274834782397808,0.377190391308038,0.165199050014316,0.308413810018088,0.540883907728828,0.205274824880441,0.300915414898903,0.538840155945419,0.266804477405983,0.441752982929454,0.479638997286056,0.236541285138418,0.375602211653714,0.424925000739189,0.191501117592086,0.339612143102855,0.374347265221878,0.168865514904332,0.2702879480209,0.406209150326797,-0.00389365422105013,0.369797779383411,0.288631350375986,0.17793011455763,0.195832461575601,0.394806469783536,0.178046192722699,0.339166571529145,0.512166542987889,0.153382705244374,0.18208761454816,0.411064977851205,0.0240426394508909,0.407637488234503,0.334012705215515
"10","LIGHTNING_BOLT",1,1,27,122,1.79,1.83,0.71,4.33,0.252488175251102,0.338224094351545,0.550665383998717,0.205716766560247,0.296551062479194,0.441442829583589,0.206151234413485,0.384591804948686,0.482426523206964,0.319546825857232,0.396916004069789,0.607808971122081,0.0444638241724491,0.472836757281035,0.400155822414691,0.0608192798174763,0.421702663521549,0.414709076613101,0.121174474387994,0.305035656183871,0.436003938693381,0.139773582115617,0.299049732576078,0.462424968001596,0.187001006757894,0.295625,0.52358735380117,0.188488705527565,0.332545564481299,0.573267192339491,0.178386154727191,0.345749227848212,0.499553770638108,0.245452890057731,0.37192203372397,0.547439621304104,0.239390660208061,0.332011923759566,0.471179156594144,0.259366980833117,0.396668868861382,0.46595739376488,0.23903769327846,0.344579269024618,0.454653535622394,0.130900558935487,0.299370172311349,0.438704451477561,0.181593343210768,0.358718640534603,0.537849492157522,0.219138333285707,0.317354853835807,0.531155616431595,0.271682519867705,0.44278120748709,0.470261552614494,0.236050356697724,0.375101382624735,0.411454473913449,0.204916081091654,0.346597007223942,0.365663054695562,0.135429083798649,0.24306784660767,0.375644629533229,0.0429139731626049,0.338704304754332,0.313786529754555,0.20207679932507,0.226890909578606,0.443520425954239,0.226165459673021,0.370824889878319,0.538581832538935,0.185870787995821,0.19739276491959,0.442001480645973,0.0711369654529397,0.304318568585469,0.372635173161951
