"","Germplasm","Rep","Row","Range","Plot","yld1","yld2","yld3","tot23","GNDVI_125","NDRE_125","NDVI_125","GNDVI_142","NDRE_142","NDVI_142","GNDVI_145","NDRE_145","NDVI_145","GNDVI_150","NDRE_150","NDVI_150","GNDVI_152","NDRE_152","NDVI_152","GNDVI_156","NDRE_156","NDVI_156","GNDVI_164","NDRE_164","NDVI_164","GNDVI_166","NDRE_166","NDVI_166","GNDVI_172","NDRE_172","NDVI_172","GNDVI_178","NDRE_178","NDVI_178","GNDVI_184","NDRE_184","NDVI_184","GNDVI_187","NDRE_187","NDVI_187","GNDVI_193","NDRE_193","NDVI_193","GNDVI_198","NDRE_198","NDVI_198","GNDVI_213","NDRE_213","NDVI_213","GNDVI_223","NDRE_223","NDVI_223","GNDVI_228","NDRE_228","NDVI_228","GNDVI_251","NDRE_251","NDVI_251","GNDVI_255","NDRE_255","NDVI_255","GNDVI_265","NDRE_265","NDVI_265","GNDVI_277","NDRE_277","NDVI_277","GNDVI_300","NDRE_300","NDVI_300","GNDVI_306","NDRE_306","NDVI_306"
"1","ALGONQUIN",1,1,16,113,2.35,1.49,0.95,4.79,0.219641497350842,0.350374471,0.460396048,0.312102688947598,0.508430249,0.649239056,0.292558769544837,0.508808458,0.614662309,0.2568957283435,0.430976944,0.571299544,0.229070908114189,0.414076084,0.489290205,0.255971496231477,0.347960635,0.509786062,-0.0699115792928001,0.410005621,0.457490509,-0.145805394350465,0.408648166,0.533622707,0.0501736644721164,0.403873499,0.350958766,0.243074184238764,0.272893602,0.500064618,0.229738732619956,0.33651235,0.504206547,0.196054908320285,0.309519959,0.511848596,0.230226503313054,0.374196086,0.53043345,0.238234400913648,0.288255583,0.473712592,0.10581393903788,0.284348167,0.345363619,0.199671782426494,0.285968211,0.46854752,0.167085968959166,0.284981647,0.436374698,-0.00320402195100562,0.464535935,0.490818469,-0.0558537958030734,0.384064546,0.474142878,0.0972950921711689,0.322024806,0.358838565,0.187587672257264,0.289450575,0.424823766,0.102474481348218,0.306011239,0.407601734,0.490891650738189,0.246702867,0.590516549
"2","SW315_LH",1,1,17,114,2.44,1.48,1.06,4.98,0.224911484002348,0.360400443,0.447807879,0.307812291552341,0.497473994,0.63524328,0.293995866645058,0.471169175,0.605731535,0.276832431469076,0.449151376,0.559563621,0.250149336872524,0.42473249,0.482408243,0.277461439471218,0.399952766,0.504332777,-0.0774312840736073,0.3851219,0.433393062,-0.150781191087026,0.371610821,0.531976037,0.0222550685394389,0.406083839,0.365513677,0.232043129127403,0.284752271,0.467084019,0.238273074884686,0.366521879,0.490094072,0.211937962575529,0.327026661,0.498029299,0.255316527964845,0.404652496,0.527115582,0.277461713618554,0.347490051,0.482693391,0.0907219189853404,0.288394688,0.331988956,0.200825366149309,0.300599262,0.447833583,0.170911482329981,0.282341325,0.424695951,-0.0186885375066424,0.462243858,0.521124894,-0.0689665312402633,0.36463121,0.50158373,0.0828076361506948,0.325598517,0.330599938,0.180049570406635,0.291740614,0.402947938,0.105852287647232,0.311392005,0.407857682,0.492428690288377,0.253712644,0.594928589
"3","NY0465",1,1,18,115,2.58,1.64,1.23,5.45,0.211720596854546,0.304706404,0.463743887,0.292686621846698,0.473033485,0.638461911,0.290975773979748,0.482371892,0.609388337,0.26491269573668,0.423214334,0.562973781,0.231562784875785,0.395789096,0.480187538,0.258629529771385,0.37013632,0.501837478,-0.0797077933805135,0.41717413,0.459087561,-0.149973658614672,0.416606879,0.522694471,0.0534750677860414,0.386660136,0.369452019,0.250772128826245,0.283162747,0.494327361,0.23721408547887,0.36140452,0.493193031,0.216726813806466,0.335009704,0.505535394,0.254731763654331,0.373332209,0.532455734,0.274175714045466,0.344237908,0.483458533,0.104676429210192,0.282301691,0.357561094,0.211582642362069,0.308112964,0.466192374,0.176680632325942,0.273638167,0.447248165,-0.0182659238445289,0.464088275,0.507474056,-0.0652864333855178,0.386063425,0.478551757,0.123305270189331,0.276326516,0.378713711,0.224624992699382,0.318017376,0.483372463,0.130434394875677,0.27133739,0.440916378,0.526809458792188,0.277543248,0.643331003
"4","HI-GEST_360",1,1,19,116,2.24,1.6,1.05,4.9,0.220116023853191,0.30408216,0.473963706,0.272503004061431,0.450759574,0.624266567,0.283228395897817,0.47876526,0.598203597,0.262384818990692,0.418657051,0.556894899,0.23496365841324,0.387196904,0.47364045,0.269341511259095,0.384458463,0.506198072,-0.0831233001515524,0.408425366,0.44059281,-0.13935590346816,0.419743991,0.478432954,0.0967588038025524,0.356094085,0.379915481,0.293304904673813,0.348591585,0.525456553,0.256171766542256,0.406585745,0.511852078,0.240161458769684,0.365088545,0.515311988,0.281169198715851,0.39436466,0.533932368,0.278616017026873,0.37364361,0.473408982,0.140121883056813,0.289872828,0.397619734,0.240415199620949,0.358670206,0.49598037,0.199336641215681,0.287759473,0.463108099,-0.043126514333915,0.483386094,0.507474837,-0.0586021759597219,0.405163818,0.417932996,0.169978702250984,0.288421434,0.442203849,0.245714587561008,0.347902223,0.514738886,0.143551608175749,0.281641128,0.435679028,0.526931966148392,0.275137816,0.635474434
"5","N-R-GEE",1,1,20,117,2.52,1.47,0.9,4.89,0.224327804782107,0.295176262,0.48796557,0.266970832629592,0.444095198,0.619557729,0.291970112378771,0.474757663,0.592258931,0.252675619863376,0.400862415,0.542595941,0.227716801224341,0.366563541,0.472785879,0.253942808860516,0.364571762,0.49839071,-0.0807839076065946,0.419827154,0.466284556,-0.143969307926518,0.440182479,0.491335705,0.091847265789058,0.378138995,0.363618592,0.273149804392236,0.3083423,0.515374298,0.243281070788473,0.403852107,0.49312725,0.231981475042747,0.352535196,0.504050185,0.275498062616428,0.398397197,0.516685759,0.255611563505809,0.383614272,0.454705811,0.122068467368438,0.297200138,0.384750142,0.215849708785512,0.315324492,0.450070028,0.186768068125578,0.280868269,0.429206742,-0.0507507305047432,0.442062323,0.496162282,-0.057068707741473,0.404982767,0.406135655,0.140097275003565,0.283853593,0.393263224,0.207724510674158,0.299274986,0.467097479,0.126404870191692,0.257882958,0.416597048,0.519965098231416,0.278420757,0.624634498
"6","PLUSS_III",1,1,21,118,2.16,1.63,1.05,4.84,0.23999590517543,0.322096486,0.497528305,0.267388865233606,0.461171064,0.623112251,0.303038633086409,0.477100064,0.599495883,0.25605685856212,0.410293218,0.551475235,0.233688027881592,0.383515499,0.476415112,0.263730885323106,0.373262922,0.508842631,-0.0756117554841922,0.435006042,0.443831639,-0.125191148645472,0.449977821,0.424111379,0.126944676048398,0.364121479,0.395028114,0.302097362957287,0.371523721,0.528550531,0.25653998158229,0.424971961,0.494591178,0.249238644069809,0.378925347,0.51798434,0.284930705269755,0.399249591,0.517772751,0.267171535397087,0.433054902,0.462054031,0.129440446729348,0.288187423,0.402397928,0.240541575432406,0.377843965,0.492690925,0.205241429275623,0.295676517,0.459349445,-0.0619048987790907,0.477938689,0.486070751,-0.0370085117124682,0.40591692,0.359170379,0.191510683624731,0.305939939,0.468871177,0.247777037534144,0.367319586,0.527965558,0.145399051588441,0.27051896,0.450971832,0.541477060062411,0.30722773,0.651453528
"7","SEEDWAY_9558_SBR",1,1,22,119,2.7,1.66,1.22,5.57,0.240030829320665,0.325477014,0.499272383,0.263098184520087,0.45745077,0.618630145,0.297905667902616,0.476501407,0.587696339,0.251369601008801,0.407082113,0.534678687,0.233665077363464,0.396889902,0.478369543,0.258032630023067,0.369294895,0.504122197,-0.0887416890798468,0.425042691,0.475149819,-0.140495071065212,0.414250269,0.476428789,0.0902100777775539,0.386079234,0.364137614,0.278812648128194,0.321726172,0.505280186,0.240829588417456,0.382917371,0.484291185,0.230958859812891,0.346079895,0.499739482,0.277382541173771,0.389801299,0.511497305,0.261386213082775,0.410713871,0.450729557,0.0845815427228077,0.289724305,0.347990127,0.225426786779994,0.353214423,0.472451358,0.194969822340687,0.294745929,0.45757292,-0.0737166524244615,0.499093063,0.509086064,-0.069494012706145,0.401970349,0.460726086,0.158135296821003,0.281897961,0.413498458,0.225937161366016,0.333456926,0.496687204,0.139556956105828,0.267638283,0.455934889,0.532074170813648,0.304970044,0.642755716
"8","NY1517",1,1,23,120,2.51,1.38,1.13,5.02,0.245049948683343,0.344153572,0.492936193,0.268218702051337,0.467429392,0.625525538,0.304983323715327,0.478565076,0.596920494,0.251006039396521,0.405669296,0.537316505,0.238268424199433,0.412914569,0.479517412,0.258368168466007,0.39209552,0.499549793,-0.0941153859096475,0.428635752,0.476439346,-0.141240992072388,0.397878496,0.500239312,0.0605649783424737,0.418786026,0.374830215,0.263625793880937,0.310698798,0.488486209,0.236716946412565,0.375650854,0.473348399,0.225062162881107,0.334774754,0.496553361,0.268375220105831,0.405655039,0.502896828,0.295168875999149,0.498197386,0.496818736,0.0507753893475925,0.313094437,0.324970936,0.207816191753381,0.324004376,0.458722766,0.184210328872328,0.285474602,0.437739726,-0.0838331951695332,0.512744659,0.491088081,-0.0844910972670565,0.409596299,0.478624318,0.116133280268573,0.287303486,0.375717992,0.194446815817477,0.312072518,0.448653121,0.125785963380893,0.263804634,0.428227475,0.528232896252497,0.304224656,0.637947924
"9","SW5606",1,1,24,121,2.55,1.69,1.1,5.35,0.27689722490171,0.41749409,0.524763738,0.279744875171126,0.483878264,0.631948146,0.314347707803869,0.472564057,0.601626692,0.285525466448106,0.437518289,0.554770342,0.274918440659097,0.444866745,0.500395287,0.278998887117169,0.444620189,0.500575377,-0.0748366026223311,0.439587689,0.440655606,-0.10784008660495,0.421244012,0.428154472,0.143697037000804,0.324998689,0.401791203,0.339557189135185,0.427568954,0.536369214,0.277078956236154,0.448639674,0.495712984,0.266412755886134,0.396096233,0.510891036,0.299214095546489,0.460010771,0.510369819,0.291170007431136,0.463333479,0.474500363,0.116526489972059,0.271700413,0.38706218,0.26139760429797,0.423665041,0.502218619,0.225435231386034,0.336505233,0.464152815,-0.0624027770472671,0.511290006,0.486449045,-0.033391524963675,0.401937795,0.352560766,0.205544065088434,0.326768818,0.477398732,0.258363342666758,0.391562209,0.53192327,0.145312942009173,0.294071978,0.453639032,0.553553112882136,0.32145268,0.659662667
"10","EZRA",1,1,25,122,2.72,1.69,1.13,5.54,0.240852399731301,0.352256872,0.506724841,0.261078861177602,0.438722362,0.620968365,0.305090947530477,0.484591578,0.593888889,0.260235408290976,0.3969359,0.543905828,0.24872724911967,0.419270988,0.498131386,0.245446662418256,0.409380865,0.487449527,-0.0951886209736871,0.44607713,0.460730098,-0.137884247099928,0.410264073,0.486833808,0.0990991131045873,0.34327167,0.365200821,0.268581936107162,0.290724438,0.529370415,0.241008393302303,0.392640561,0.487790926,0.226871047466965,0.328235402,0.499208888,0.252585393576621,0.418930302,0.495819085,0.263844867586496,0.455571532,0.464484532,0.0744665122432651,0.305577296,0.340982978,0.215426309004225,0.329170443,0.477976877,0.190946017017149,0.286275091,0.454150985,-0.0728797191755096,0.529732917,0.495605879,-0.0730773919817035,0.404384307,0.45302693,0.146436593980614,0.262475441,0.405342885,0.214736623062743,0.319418396,0.498405551,0.144045093015062,0.280317622,0.45856242,0.541273030339874,0.314439465,0.656347241
