"Germplasm","Rep","Plot","Row","Range","GNDVI_125","GNDVI_136","GNDVI_144","GNDVI_150","GNDVI_152","GNDVI_156","GNDVI_164","GNDVI_166","GNDVI_172","GNDVI_177","GNDVI_179","GNDVI_186","GNDVI_192","GNDVI_195","GNDVI_198","GNDVI_213","GNDVI_223","GNDVI_228","GNDVI_244","GNDVI_248","GNDVI_251","GNDVI_255","GNDVI_263","GNDVI_274","GNDVI_278","GNDVI_300","GNDVI_305"
"SW5606",1,2121010,1,51,0.300511589498404,0.178648150012699,0.205376188577633,0.362339751467188,0.0377777596153933,0.052748828905809,0.193131788472087,0.20214284590944,0.2174017300356,-0.0790489802544668,-0.0339431844976943,0.143379015096872,0.217510026635807,0.299700740261349,0.226563953936192,0.19881232372101,0.207825781233843,0.166723729289029,0.131537115864425,0.132085955581297,0.149727438572179,0.140452615793585,0.167407468194189,0.216706235932187,0.0760560887340236,0.122847970391954,0.0644232885533422
"VERNAL",1,2121020,1,50,0.251434026977444,0.155109482841926,0.180501549582308,0.342451598613631,0.0251983839427086,0.033419114445209,0.0733503362581286,0.0750202985814606,0.125997429796335,-0.091085759742765,-0.0823833187725729,0.0875790289530623,0.145699294266399,0.252536317815508,0.177273304432307,0.19101090494405,0.187502586629932,0.140464921296784,0.103300293353666,0.120055876631149,0.123879407603732,0.107574473827774,0.140945667556185,0.193232954551185,0.0464167772589497,0.0901053517568417,0.030951701207882
"SEEDWAY_9558_SBR",1,2121030,1,49,0.26989650786035,0.186633181403613,0.202712575966761,0.3445959100506,0.0302731229033952,0.0578096047868781,0.0838898473759725,0.116015980687513,0.175515849035283,-0.0708070074496157,-0.0751563346264672,0.0969760410075781,0.163224974602588,0.264065228781915,0.187934289421841,0.192942447500506,0.190588954180466,0.137776123222015,0.0837639825397239,0.112190958407351,0.122377231825918,0.111610343470445,0.146963514424589,0.198416449917935,0.0563861813807587,0.133677095718171,0.0648726121987414
"REGEN",1,2121040,1,48,0.252169159398765,0.186603875613158,0.195749936884138,0.330228534026109,0.0308043587823759,0.0729596076934772,0.0805640569087846,0.122443765754233,0.164582610777039,-0.0602880971302175,-0.0695556037106407,0.102706085184828,0.160759281569213,0.262459972842232,0.188100286285722,0.195728692237952,0.198438772405997,0.142930856553148,0.0899703874150986,0.112403362495376,0.123158468133482,0.0988342825817096,0.131888390411685,0.191668422818684,0.0437460951602687,0.114521903666382,0.0393877437370226
"WL_349HQ",1,2121050,1,47,0.2586206770195,0.178791100923302,0.181798403212021,0.318658584787262,0.0287962803427226,0.0826113310617712,0.147728179550806,0.188808283206404,0.220515176608424,-0.0619811693889062,-0.0611152503169273,0.119573300682539,0.179279025757932,0.273163585806724,0.202604419904299,0.19159255232995,0.192353404852697,0.139085080611478,0.142674083379139,0.127012593223097,0.128313798930993,0.109578449794208,0.141129000491075,0.184725336889723,0.042261681575403,0.12020614204247,0.0345557675111913
"GUARDSMAN_II",1,2121060,1,46,0.257279228397602,0.187745564500495,0.193694272213841,0.315198285469026,0.0264662243853801,0.0719501210096598,0.110817406986265,0.147330466074018,0.190530425849125,-0.0674284674069538,-0.0582000631076182,0.116810103924353,0.162166618662824,0.265490854759573,0.192552222640393,0.187209083215043,0.188895312189252,0.148874186854131,0.153212317753028,0.126996409485206,0.14521844933932,0.115399090250964,0.145986524780326,0.180858310029286,0.0465185365335927,0.116643531590066,0.0238948164302185
"WL_349HQ",1,2121070,1,45,0.264622789379447,0.194415657351358,0.189183023322428,0.320596587993292,0.0319513167032891,0.0744514542552882,0.157449303812701,0.19180990896126,0.222058299376372,-0.080142128659144,-0.0636552572075004,0.112253371976368,0.17054730712507,0.267923673277248,0.207422172448333,0.187370130424963,0.184444752506998,0.15483230202612,0.162063726078611,0.132462641736488,0.157651790280859,0.127894025008616,0.146651143792201,0.158943654157159,0.0502188827763463,0.116321030906667,0.0201759936180626
"SW5606",1,2121080,1,44,0.294374236309909,0.218206018608106,0.226722720284307,0.35243148288859,0.0382580072102893,0.0831583771046563,0.178353704963301,0.214278433542602,0.231295117885125,-0.0784646284581798,-0.035039325240507,0.136853320192853,0.194080247701033,0.288176116928608,0.230423287908382,0.196437253751362,0.208062159734688,0.176937108909368,0.160563877553374,0.131932123112206,0.166532419783694,0.139273086967385,0.149830469948667,0.157536604338163,0.0498627384042615,0.109428669429195,0.0119036460309975
"VERNAL",1,2121090,1,43,0.231267548352302,0.181182281924027,0.193821749782364,0.319963685678539,0.0521617369220158,0.0644256044139937,0.0595518450842924,0.0846785665103525,0.144393129918779,-0.100268272730845,-0.0726132806431802,0.0555619338380471,0.129485725932814,0.254195950994069,0.182327175985473,0.169086759105439,0.168053030424919,0.156523046298925,0.148817865573063,0.128883248091918,0.139453905130211,0.122969086524201,0.140194956199965,0.153989967935238,0.0514396490352467,0.101668525649898,0.0156745583462957
"REGEN",1,2121100,1,42,0.238381051279609,0.204960082524657,0.206425465673534,0.334690954084554,0.0596078137113986,0.0771481938234372,0.105061344586457,0.130145347068871,0.175105184810203,-0.0937434632521417,-0.0801518784566797,0.0582511706649916,0.149605377413519,0.254459449404907,0.20177332209604,0.179670941761826,0.182942298715269,0.175778717878693,0.15909976290352,0.143078273791955,0.154310985019391,0.154236586966597,0.179783803797519,0.1644215589739,0.0423346874957992,0.0965291859024371,0.0110189895419949
