"Germplasm","Rep","Plot","Row","Range","yld1","yld2","yld3","tot23","GNDVI_125","GNDVI_136","GNDVI_144","GNDVI_150","GNDVI_152","GNDVI_156","GNDVI_164","GNDVI_166","GNDVI_172","GNDVI_177","GNDVI_179","GNDVI_186","GNDVI_192","GNDVI_195","GNDVI_198","GNDVI_213","GNDVI_223","GNDVI_228","GNDVI_244","GNDVI_248","GNDVI_251","GNDVI_255","GNDVI_263","GNDVI_274","GNDVI_278","GNDVI_300","GNDVI_305"
"SW4412Y",1,113,1,36,1.43,1.46,0.67,3.56,0.22474540713312,0.179327230675162,0.197250189717417,0.345251991602462,0.0360286057763347,0.0634109112766034,0.132747436512947,0.139081742740588,0.185369550464465,0.172900432243267,0.184179797492431,0.258701956106475,0.266555580467657,0.27190954573806,0.245267769446071,0.13200035254935,0.264112661756949,0.209973508091252,0.259026674921267,0.213406418505137,0.174142619471057,0.200807947965779,0.0359218635581645,0.191960878143333,0.201630677020522,0.155114000685059,0.0435828749957455
"AMERISTAND_427_TQ",1,114,1,35,1.42,1.64,0.66,3.72,0.205036273554287,0.167212647711649,0.177443216736161,0.329350129161466,0.0434518487424748,0.0872543624923315,0.143765608066437,0.154670856531102,0.204008372097005,0.171051949622514,0.182759282440018,0.243225937493453,0.247572118062301,0.260698043395455,0.239827289722108,0.154064757653627,0.27227394687772,0.226793226551311,0.271424624279523,0.224177151258712,0.182461703819181,0.198906244589258,0.0814499308876968,0.235214002627259,0.238835344806005,0.182223763546607,0.0623654856439255
"VERNAL",1,115,1,34,1.04,1.08,0.56,2.68,0.10523312489928,0.108608593073825,0.15755785624138,0.301954266875841,0.0392357452768913,0.0658483203228242,0.0366035301888506,0.0279332703036786,0.0979352197414483,0.126664414387895,0.131828775826549,0.218361932936591,0.251663834172752,0.254367305920777,0.237797709376085,0.0376541772419421,0.183092043619882,0.179281610596804,0.250206158685523,0.220923341138912,0.178526624977134,0.179580911472694,-0.0493866658354076,0.145330917946086,0.142850685981647,0.141850503353836,0.00537955297426601
"HI-GEST_360",1,116,1,33,1.52,1.56,0.66,3.74,0.203225118211458,0.165005625526473,0.188495442788149,0.348267829335488,0.0591393999421062,0.0974482475837244,0.167136896030997,0.165665119337311,0.202100445406543,0.181454015659184,0.18274503704368,0.253569848843572,0.25623218844724,0.267998768550446,0.259402793560401,0.146702995622765,0.235328538526191,0.228714849699291,0.277428594086442,0.240831534511592,0.209121591694276,0.228484070302399,0.0441037595003295,0.228639117664579,0.221470502099663,0.192080411940185,0.0647634428547662
"55V50",1,117,1,32,1.74,1.73,0.83,4.3,0.236110479273763,0.188667559609422,0.206113494398347,0.353649910017996,0.0399747484458261,0.069742597607006,0.124272689042424,0.139324316778609,0.19825623185017,0.192713716970496,0.193133350822223,0.261821780553495,0.26923456704388,0.282429420457699,0.267957133018252,0.127304483089102,0.207503163597538,0.235768301523264,0.282374363160264,0.244822875092785,0.224556572609288,0.239414077273406,0.0221017332100772,0.206540192473001,0.226302487722466,0.184156387859458,0.0600900494415054
"PLUSS_III",1,118,1,31,1.34,1.57,0.57,3.48,0.230405329202341,0.162486860199059,0.183005866004803,0.335856373161319,0.0434660694762588,0.0660245631305755,0.131690301394667,0.146079306502468,0.195843383195458,0.182121688556208,0.185182856582146,0.253509788305785,0.237072862322189,0.268351802825686,0.243815222508955,0.149591767941562,0.196502933899143,0.229885023829385,0.254382197170346,0.202795799086167,0.184027501254877,0.205181557909229,0.0528468560234834,0.227215921906493,0.216953303584332,0.185409893017416,0.0642182419404088
"WL_358LH",1,119,1,30,1.09,1.22,0.47,2.78,0.215638444097539,0.171958006726612,0.199525848384482,0.332639863299037,0.056982873937,0.0834973158999307,0.113056380012881,0.119983695989152,0.181127220497586,0.1740739655324,0.172203208512389,0.256078723637417,0.246896625832796,0.267757665543396,0.258919962527282,0.146170537115134,0.188863819631672,0.222361309701327,0.256134877857207,0.218617661306705,0.184329090028041,0.204685531422469,0.053623785664735,0.219370142562305,0.210189315356043,0.179318458514417,0.0569909680477201
"NY1614",1,120,1,29,1.36,1.47,0.63,3.46,0.213723242185314,0.166661633464588,0.190579330260246,0.313377270061524,0.0659769110122644,0.068321205783627,0.0662034091066415,0.0793531526244734,0.155381239032072,0.161875255572882,0.161234577013267,0.237887295107799,0.24294848316782,0.27575164716816,0.246734032246102,0.0885226448439724,0.144634972479284,0.189053828589287,0.256733402969634,0.231096349859338,0.190330463767321,0.186709489824953,-0.0165104084598942,0.197283398044653,0.189430779791819,0.183323413860158,0.0620501111414503
"LANDER",1,121,1,28,1.29,1.5,0.74,3.53,0.202886337647618,0.153530585385833,0.174126436651667,0.295234944794609,0.0506159113370042,0.0754213801319338,0.0872530621915763,0.0948803822727282,0.148599938164301,0.158731943046312,0.145266032991151,0.222590360625313,0.247669333305383,0.269233830619485,0.256566564649264,0.0931800694794881,0.165199050014316,0.205274824880441,0.266804477405983,0.236541285138418,0.191501117592086,0.168865514904332,-0.00389365422105013,0.17793011455763,0.178046192722699,0.153382705244374,0.0240426394508909
"LIGHTNING_BOLT",1,122,1,27,1.79,1.83,0.71,4.33,0.252488175251102,0.205716766560247,0.206151234413485,0.319546825857232,0.0444638241724491,0.0608192798174763,0.121174474387994,0.139773582115617,0.187001006757894,0.188488705527565,0.178386154727191,0.245452890057731,0.239390660208061,0.259366980833117,0.23903769327846,0.130900558935487,0.181593343210768,0.219138333285707,0.271682519867705,0.236050356697724,0.204916081091654,0.135429083798649,0.0429139731626049,0.20207679932507,0.226165459673021,0.185870787995821,0.0711369654529397
