"","Germplasm","Rep","Plot","Row","Range","GNDVI_125","NDRE_125","NDVI_125","GNDVI_136","NDRE_136","NDVI_136","GNDVI_144","NDRE_144","NDVI_144","GNDVI_150","NDRE_150","NDVI_150","GNDVI_152","NDRE_152","NDVI_152","GNDVI_156","NDRE_156","NDVI_156","GNDVI_164","NDRE_164","NDVI_164","GNDVI_166","NDRE_166","NDVI_166","GNDVI_172","NDRE_172","NDVI_172","GNDVI_177","NDRE_177","NDVI_177","GNDVI_179","NDRE_179","NDVI_179","GNDVI_186","NDRE_186","NDVI_186","GNDVI_192","NDRE_192","NDVI_192","GNDVI_195","NDRE_195","NDVI_195","GNDVI_198","NDRE_198","NDVI_198","GNDVI_213","NDRE_213","NDVI_213","GNDVI_223","NDRE_223","NDVI_223","GNDVI_228","NDRE_228","NDVI_228","GNDVI_244","NDRE_244","NDVI_244","GNDVI_248","NDRE_248","NDVI_248","GNDVI_251","NDRE_251","NDVI_251","GNDVI_255","NDRE_255","NDVI_255","GNDVI_263","NDRE_263","NDVI_263","GNDVI_274","NDRE_274","NDVI_274","GNDVI_278","NDRE_278","NDVI_278","GNDVI_300","NDRE_300","NDVI_300","GNDVI_305","NDRE_305","NDVI_305"
"1","SW5606",1,2121010,1,51,0.300511589498404,0.379777348649898,0.57137375152081,0.178648150012699,0.312751726789431,0.45830184676981,0.205376188577633,0.465171457877555,0.50405710946179,0.362339751467188,0.4687653716195,0.615806358417807,0.0377777596153933,0.461860930766352,0.350404178584753,0.052748828905809,0.482477203950484,0.405663864834009,0.193131788472087,0.355232878562582,0.462274287905703,0.20214284590944,0.31479386968937,0.496235268860449,0.2174017300356,0.335225163398693,0.538598801742919,-0.0790489802544668,0.348775191492526,0.234807268039959,-0.0339431844976943,0.398395828984064,0.239533865416218,0.143379015096872,0.234291476882691,0.467355814489098,0.217510026635807,0.404572003391741,0.533163746293575,0.299700740261349,0.46379633438457,0.568451275403147,0.226563953936192,0.345873227118902,0.504608286753615,0.19881232372101,0.375860674704664,0.485318231640482,0.207825781233843,0.292873053673639,0.501871947612734,0.166723729289029,0.254325146602939,0.460819344869617,0.131537115864425,0.193957746898923,0.384210031268855,0.132085955581297,0.247604686231296,0.302659488572137,0.149727438572179,0.214326195390437,0.26468739250086,0.140452615793585,0.102038124984507,0.204311246622543,0.167407468194189,0.1422354240975,0.375837892185535,0.216706235932187,0.156913559335705,0.277375027894059,0.0760560887340236,0.248820532579844,0.301379256214859,0.122847970391954,0.14127208567308,0.266044125318359,0.0644232885533422,0.349523873843452,0.334639265455771
"2","VERNAL",1,2121020,1,50,0.251434026977444,0.298840765262334,0.507266526139075,0.155109482841926,0.263135628738499,0.428119467691317,0.180501549582308,0.426842371126209,0.48894678352234,0.342451598613631,0.419460284113645,0.622074329731893,0.0251983839427086,0.46115371052125,0.371686431240804,0.033419114445209,0.48780542041378,0.432627524694088,0.0733503362581286,0.29967636945369,0.360352561155753,0.0750202985814606,0.326668905338258,0.39563186505677,0.125997429796335,0.253223791709666,0.457449152906777,-0.091085759742765,0.379764507572941,0.247056840435289,-0.0823833187725729,0.424399996500162,0.310805531494168,0.0875790289530623,0.256932149324803,0.39651232269748,0.145699294266399,0.320045395384274,0.474101351279854,0.252536317815508,0.407661975576414,0.53915003594148,0.177273304432307,0.271263131643754,0.477472281970552,0.19101090494405,0.385602728047741,0.480379490926806,0.187502586629932,0.287312403934322,0.490181565504973,0.140464921296784,0.255051024815212,0.464142943521021,0.103300293353666,0.184157266510208,0.358845782375194,0.120055876631149,0.23839006893791,0.319633089287217,0.123879407603732,0.247540849673203,0.291611627106983,0.107574473827774,0.200525382227621,0.234140686756512,0.140945667556185,0.184048668534808,0.382166381857871,0.193232954551185,0.161284486657621,0.273870739542381,0.0464167772589497,0.281206534044962,0.356828257746573,0.0901053517568417,0.157346768336964,0.262888888888889,0.030951701207882,0.373329309335675,0.378619524924398
"3","SEEDWAY_9558_SBR",1,2121030,1,49,0.26989650786035,0.331122499504852,0.544115053428779,0.186633181403613,0.309810964615731,0.454005753755187,0.202712575966761,0.432156658283751,0.499840605341893,0.3445959100506,0.418373849539816,0.607003301320528,0.0302731229033952,0.465675243374424,0.352319755844204,0.0578096047868781,0.467108752985049,0.415952498466969,0.0838898473759725,0.288609988555358,0.393454364339991,0.116015980687513,0.294755294175933,0.432513494386831,0.175515849035283,0.275036492374728,0.504421568627451,-0.0708070074496157,0.365392465356187,0.236520193980676,-0.0751563346264672,0.405198995787231,0.310520788167847,0.0969760410075781,0.262815756933404,0.433379619381109,0.163224974602588,0.327751499952382,0.487395109149974,0.264065228781915,0.404034149544985,0.528700884442511,0.187934289421841,0.302443438914027,0.484443261467483,0.192942447500506,0.390541820592971,0.464368191721133,0.190588954180466,0.282407249252169,0.49494321740311,0.137776123222015,0.278429939227153,0.446419084202882,0.0837639825397239,0.192546850389988,0.29414829905026,0.112190958407351,0.215213241384198,0.289612759492774,0.122377231825918,0.243136398477277,0.256498336395052,0.111610343470445,0.222937953942639,0.19689397883047,0.146963514424589,0.137844908548979,0.365438357054657,0.198416449917935,0.154779244118988,0.26762694133741,0.0563861813807587,0.259016182892371,0.313715025068737,0.133677095718171,0.163054882488269,0.27217555146102,0.0648726121987414,0.344340666728726,0.330573255770797
"4","REGEN",1,2121040,1,48,0.252169159398765,0.327768871099443,0.538402369056884,0.186603875613158,0.300285699134285,0.437351184557664,0.195749936884138,0.397554955000463,0.486558314180116,0.330228534026109,0.412092298802929,0.626924419992212,0.0308043587823759,0.457341352817643,0.359496730892808,0.0729596076934772,0.441041328812227,0.416950710108605,0.0805640569087846,0.282412510855871,0.397880689393661,0.122443765754233,0.289246297675188,0.451062639004472,0.164582610777039,0.268843464052288,0.499217102396514,-0.0602880971302175,0.371949651128195,0.239170577677963,-0.0695556037106407,0.430188991259154,0.289102076756223,0.102706085184828,0.236253379216894,0.441972277564236,0.160759281569213,0.349594202440579,0.490737492955818,0.262459972842232,0.419703410077742,0.521959205381665,0.188100286285722,0.30274062990326,0.47879453848312,0.195728692237952,0.41907538667641,0.458248203629278,0.198438772405997,0.331375847411971,0.495591368766863,0.142930856553148,0.274205259196189,0.445931958686558,0.0899703874150986,0.17025077025077,0.265943560061207,0.112403362495376,0.211708056941323,0.299799444474901,0.123158468133482,0.234276256910277,0.254108911527048,0.0988342825817096,0.28066593402356,0.205775348487478,0.131888390411685,0.148923779559266,0.35564845292117,0.191668422818684,0.165994340280572,0.271638770419248,0.0437460951602687,0.258645146559352,0.328033578788138,0.114521903666382,0.182314669723484,0.274466082613677,0.0393877437370226,0.364835730060644,0.338306512527966
"5","WL_349HQ",1,2121050,1,47,0.2586206770195,0.347236251402918,0.566302851106773,0.178791100923302,0.311172497384727,0.447419094176658,0.181798403212021,0.376370487367696,0.494972039910855,0.318658584787262,0.416680890240559,0.62551709156361,0.0287962803427226,0.465928865043503,0.369078291972242,0.0826113310617712,0.43541339495371,0.423684833709736,0.147728179550806,0.360957008426102,0.480072454592268,0.188808283206404,0.304954248042203,0.518021933933969,0.220515176608424,0.311936704506364,0.529233316133471,-0.0619811693889062,0.347562529436553,0.215141419399618,-0.0611152503169273,0.433325046179077,0.259801631697057,0.119573300682539,0.253398508958201,0.467612126894827,0.179279025757932,0.383537030570458,0.512153582425955,0.273163585806724,0.447666712372595,0.528057622710029,0.202604419904299,0.351191046554368,0.499707720192149,0.19159255232995,0.426560927401264,0.449334157905586,0.192353404852697,0.337482710926694,0.490774165092986,0.139085080611478,0.285926117877401,0.425631760290998,0.142674083379139,0.245649316237552,0.299273911038617,0.127012593223097,0.248200586347519,0.290359382356353,0.128313798930993,0.238167850673792,0.264626663069683,0.109578449794208,0.276180064946333,0.209201060955356,0.141129000491075,0.154703932655144,0.356141739206894,0.184725336889723,0.149905484233842,0.276180321483219,0.042261681575403,0.271531167051974,0.324178844269391,0.12020614204247,0.18043427741467,0.285074195110143,0.0345557675111913,0.381287679250805,0.345249000097551
"6","GUARDSMAN_II",1,2121060,1,46,0.257279228397602,0.344923204972225,0.560940403097266,0.187745564500495,0.310580562515743,0.431550448103515,0.193694272213841,0.391217471101794,0.492290893171352,0.315198285469026,0.406724196405019,0.635635276532137,0.0264662243853801,0.471651280338948,0.37295038725618,0.0719501210096598,0.453000024571232,0.426102019755271,0.110817406986265,0.290773671914181,0.405915623891478,0.147330466074018,0.293767538288584,0.463479090320665,0.190530425849125,0.277712745098039,0.511874074074074,-0.0674284674069538,0.346591804863538,0.240701023772341,-0.0582000631076182,0.439000064428838,0.253483667289479,0.116810103924353,0.23873717351007,0.467657680018067,0.162166618662824,0.371731889864648,0.499043320414071,0.265490854759573,0.441275361596217,0.525881189517553,0.192552222640393,0.32420378856365,0.492850462919667,0.187209083215043,0.423972740611396,0.447935780372755,0.188895312189252,0.341334793421686,0.486878775284926,0.148874186854131,0.293397993558657,0.429681511371068,0.153212317753028,0.264354193765958,0.304838987191928,0.126996409485206,0.249316420687287,0.300359587054866,0.14521844933932,0.252427330581355,0.274005417956656,0.115399090250964,0.280970077313128,0.230487593267395,0.145986524780326,0.154177641681226,0.366422126139076,0.180858310029286,0.150895567331553,0.271586372105403,0.0465185365335927,0.260110977918581,0.305729657219511,0.116643531590066,0.166884163368008,0.272343551505109,0.0238948164302185,0.371815497539817,0.334502733975956
"7","WL_349HQ",1,2121070,1,45,0.264622789379447,0.34687903781041,0.575459544086995,0.194415657351358,0.322235941230117,0.448312478206057,0.189183023322428,0.376402604837555,0.503875053671103,0.320596587993292,0.418836592933137,0.634966524726483,0.0319513167032891,0.465474602479643,0.372887467709723,0.0744514542552882,0.439640448093807,0.419650967429942,0.157449303812701,0.347481515516595,0.478028458446544,0.19180990896126,0.350610519914572,0.515485042638522,0.222058299376372,0.311111982570806,0.532161437908497,-0.080142128659144,0.365171830846876,0.207075605572626,-0.0636552572075004,0.422751093339329,0.251843287137405,0.112253371976368,0.23471945512154,0.463633700714862,0.17054730712507,0.367425595002976,0.508538338784345,0.267923673277248,0.448344822141614,0.523130108156846,0.207422172448333,0.343617628046694,0.499070940593432,0.187370130424963,0.404555034134866,0.46581250682091,0.184444752506998,0.322344269403093,0.489899135888441,0.15483230202612,0.300752971754004,0.426118946603983,0.162063726078611,0.265908383555442,0.304779352818568,0.132462641736488,0.242194277084456,0.292183473551815,0.157651790280859,0.257774767801858,0.31015866873065,0.127894025008616,0.238327260107583,0.24318980689621,0.146651143792201,0.152040177717091,0.354838342617448,0.158943654157159,0.139371813980712,0.273853441411275,0.0502188827763463,0.252938560188753,0.302489867853983,0.116321030906667,0.16577772797386,0.272736090470041,0.0201759936180626,0.376445399272441,0.323056601546505
"8","SW5606",1,2121080,1,44,0.294374236309909,0.39756010148167,0.593152698789954,0.218206018608106,0.344618117700089,0.451655861803816,0.226722720284307,0.455934971670076,0.504169592267994,0.35243148288859,0.488758003201281,0.641546118447379,0.0382580072102893,0.464308382502637,0.372737521130134,0.0831583771046563,0.422672735760971,0.4106193179026,0.178353704963301,0.345650679485768,0.457978300490502,0.214278433542602,0.374437193095158,0.508460426612939,0.231295117885125,0.330362809597523,0.532441950464396,-0.0784646284581798,0.368247880650057,0.219847234047804,-0.035039325240507,0.423116649604956,0.233696660279462,0.136853320192853,0.238016509932618,0.470618111285771,0.194080247701033,0.399785192004487,0.505118885114758,0.288176116928608,0.466415491816561,0.525249682300062,0.230423287908382,0.372773985057722,0.494406517243888,0.196437253751362,0.407100415923945,0.455797942072452,0.208062159734688,0.338808224871198,0.500798430844806,0.176937108909368,0.287109663248559,0.447563765594343,0.160563877553374,0.272680472680473,0.295437683672978,0.131932123112206,0.242035282601859,0.279600225000775,0.166532419783694,0.248658410732714,0.279858961128311,0.139273086967385,0.190509861761814,0.241202980700638,0.149830469948667,0.132188108882339,0.338892648110131,0.157536604338163,0.125660390010998,0.270716316622408,0.0498627384042615,0.268140941480911,0.31446185461084,0.109428669429195,0.150227526339435,0.264068711988368,0.0119036460309975,0.367295507755341,0.342015413130426
"9","VERNAL",1,2121090,1,43,0.231267548352302,0.308135863773119,0.530952027275557,0.181182281924027,0.276469842500895,0.414323237746755,0.193821749782364,0.407364208585681,0.493287260259295,0.319963685678539,0.4215556222489,0.614174669867947,0.0521617369220158,0.454331326195584,0.376041053956985,0.0644256044139937,0.42483049410967,0.411169690352622,0.0595518450842924,0.271240279019118,0.355998711624447,0.0846785665103525,0.317221902459614,0.397372126932965,0.144393129918779,0.244672440087146,0.48620174291939,-0.100268272730845,0.379392677424952,0.231752311544087,-0.0726132806431802,0.430574531751002,0.270309667956727,0.0555619338380471,0.344602979748177,0.391808487564258,0.129485725932814,0.304380813307514,0.469617366644445,0.254195950994069,0.406644395414449,0.506194399777287,0.182327175985473,0.295093096061954,0.480232201477876,0.169086759105439,0.427925952989892,0.433331871879186,0.168053030424919,0.300352488197253,0.46613232710377,0.156523046298925,0.274517481980555,0.450237539949901,0.148817865573063,0.296666873137461,0.323776947306359,0.128883248091918,0.239905067339144,0.297230597737697,0.139453905130211,0.239840876293737,0.299869823448051,0.122969086524201,0.245128281401056,0.300687637887013,0.140194956199965,0.190813737596163,0.369554895461792,0.153989967935238,0.138189722618788,0.257776057084016,0.0514396490352467,0.27543743495307,0.323547983680833,0.101668525649898,0.174610574120102,0.282750621375311,0.0156745583462957,0.390389984771021,0.329626175104665
"10","REGEN",1,2121100,1,42,0.238381051279609,0.347272444331268,0.530951555706458,0.204960082524657,0.298006692417049,0.435976687186503,0.206425465673534,0.407037730339109,0.498526880161686,0.334690954084554,0.42182864177061,0.625120649156524,0.0596078137113986,0.465215770141361,0.367281501352636,0.0771481938234372,0.418629416678952,0.408839623568726,0.105061344586457,0.277436057392389,0.422646263745673,0.130145347068871,0.301928372242419,0.454898164775963,0.175105184810203,0.256025004299966,0.486436618507052,-0.0937434632521417,0.361500210703751,0.217660444708857,-0.0801518784566797,0.425810431267554,0.287327742341917,0.0582511706649916,0.370905082297487,0.410467354920073,0.149605377413519,0.333503447040917,0.485979575821733,0.254459449404907,0.429541818846632,0.507358238909041,0.20177332209604,0.31093238567287,0.491376497604871,0.179670941761826,0.429246133235903,0.440987455851906,0.182942298715269,0.316691404609393,0.482882443097234,0.175778717878693,0.293999185577315,0.470023075309419,0.15909976290352,0.295514307279013,0.334844699550582,0.143078273791955,0.253711070323037,0.304308903702996,0.154310985019391,0.247819756861032,0.310760547940513,0.154236586966597,0.18546281836235,0.341574122274278,0.179783803797519,0.210216798749135,0.41308833405332,0.1644215589739,0.135235109247401,0.257841465918727,0.0423346874957992,0.296704555184519,0.335804649370665,0.0965291859024371,0.186488569762803,0.294687900825432,0.0110189895419949,0.391556830011615,0.337762088420561
