"Germplasm","Rep","Plot","Row","Range","NDRE_125","NDRE_136","NDRE_144","NDRE_150","NDRE_152","NDRE_156","NDRE_164","NDRE_166","NDRE_172","NDRE_177","NDRE_179","NDRE_186","NDRE_192","NDRE_195","NDRE_198","NDRE_213","NDRE_223","NDRE_228","NDRE_244","NDRE_248","NDRE_251","NDRE_255","NDRE_263","NDRE_274","NDRE_278","NDRE_300","NDRE_305"
"SW5606",1,2121010,1,51,0.379777348649898,0.312751726789431,0.465171457877555,0.4687653716195,0.461860930766352,0.482477203950484,0.355232878562582,0.31479386968937,0.335225163398693,0.348775191492526,0.398395828984064,0.234291476882691,0.404572003391741,0.46379633438457,0.345873227118902,0.375860674704664,0.292873053673639,0.254325146602939,0.193957746898923,0.247604686231296,0.214326195390437,0.102038124984507,0.1422354240975,0.156913559335705,0.248820532579844,0.14127208567308,0.349523873843452
"VERNAL",1,2121020,1,50,0.298840765262334,0.263135628738499,0.426842371126209,0.419460284113645,0.46115371052125,0.48780542041378,0.29967636945369,0.326668905338258,0.253223791709666,0.379764507572941,0.424399996500162,0.256932149324803,0.320045395384274,0.407661975576414,0.271263131643754,0.385602728047741,0.287312403934322,0.255051024815212,0.184157266510208,0.23839006893791,0.247540849673203,0.200525382227621,0.184048668534808,0.161284486657621,0.281206534044962,0.157346768336964,0.373329309335675
"SEEDWAY_9558_SBR",1,2121030,1,49,0.331122499504852,0.309810964615731,0.432156658283751,0.418373849539816,0.465675243374424,0.467108752985049,0.288609988555358,0.294755294175933,0.275036492374728,0.365392465356187,0.405198995787231,0.262815756933404,0.327751499952382,0.404034149544985,0.302443438914027,0.390541820592971,0.282407249252169,0.278429939227153,0.192546850389988,0.215213241384198,0.243136398477277,0.222937953942639,0.137844908548979,0.154779244118988,0.259016182892371,0.163054882488269,0.344340666728726
"REGEN",1,2121040,1,48,0.327768871099443,0.300285699134285,0.397554955000463,0.412092298802929,0.457341352817643,0.441041328812227,0.282412510855871,0.289246297675188,0.268843464052288,0.371949651128195,0.430188991259154,0.236253379216894,0.349594202440579,0.419703410077742,0.30274062990326,0.41907538667641,0.331375847411971,0.274205259196189,0.17025077025077,0.211708056941323,0.234276256910277,0.28066593402356,0.148923779559266,0.165994340280572,0.258645146559352,0.182314669723484,0.364835730060644
"WL_349HQ",1,2121050,1,47,0.347236251402918,0.311172497384727,0.376370487367696,0.416680890240559,0.465928865043503,0.43541339495371,0.360957008426102,0.304954248042203,0.311936704506364,0.347562529436553,0.433325046179077,0.253398508958201,0.383537030570458,0.447666712372595,0.351191046554368,0.426560927401264,0.337482710926694,0.285926117877401,0.245649316237552,0.248200586347519,0.238167850673792,0.276180064946333,0.154703932655144,0.149905484233842,0.271531167051974,0.18043427741467,0.381287679250805
"GUARDSMAN_II",1,2121060,1,46,0.344923204972225,0.310580562515743,0.391217471101794,0.406724196405019,0.471651280338948,0.453000024571232,0.290773671914181,0.293767538288584,0.277712745098039,0.346591804863538,0.439000064428838,0.23873717351007,0.371731889864648,0.441275361596217,0.32420378856365,0.423972740611396,0.341334793421686,0.293397993558657,0.264354193765958,0.249316420687287,0.252427330581355,0.280970077313128,0.154177641681226,0.150895567331553,0.260110977918581,0.166884163368008,0.371815497539817
"WL_349HQ",1,2121070,1,45,0.34687903781041,0.322235941230117,0.376402604837555,0.418836592933137,0.465474602479643,0.439640448093807,0.347481515516595,0.350610519914572,0.311111982570806,0.365171830846876,0.422751093339329,0.23471945512154,0.367425595002976,0.448344822141614,0.343617628046694,0.404555034134866,0.322344269403093,0.300752971754004,0.265908383555442,0.242194277084456,0.257774767801858,0.238327260107583,0.152040177717091,0.139371813980712,0.252938560188753,0.16577772797386,0.376445399272441
"SW5606",1,2121080,1,44,0.39756010148167,0.344618117700089,0.455934971670076,0.488758003201281,0.464308382502637,0.422672735760971,0.345650679485768,0.374437193095158,0.330362809597523,0.368247880650057,0.423116649604956,0.238016509932618,0.399785192004487,0.466415491816561,0.372773985057722,0.407100415923945,0.338808224871198,0.287109663248559,0.272680472680473,0.242035282601859,0.248658410732714,0.190509861761814,0.132188108882339,0.125660390010998,0.268140941480911,0.150227526339435,0.367295507755341
"VERNAL",1,2121090,1,43,0.308135863773119,0.276469842500895,0.407364208585681,0.4215556222489,0.454331326195584,0.42483049410967,0.271240279019118,0.317221902459614,0.244672440087146,0.379392677424952,0.430574531751002,0.344602979748177,0.304380813307514,0.406644395414449,0.295093096061954,0.427925952989892,0.300352488197253,0.274517481980555,0.296666873137461,0.239905067339144,0.239840876293737,0.245128281401056,0.190813737596163,0.138189722618788,0.27543743495307,0.174610574120102,0.390389984771021
"REGEN",1,2121100,1,42,0.347272444331268,0.298006692417049,0.407037730339109,0.42182864177061,0.465215770141361,0.418629416678952,0.277436057392389,0.301928372242419,0.256025004299966,0.361500210703751,0.425810431267554,0.370905082297487,0.333503447040917,0.429541818846632,0.31093238567287,0.429246133235903,0.316691404609393,0.293999185577315,0.295514307279013,0.253711070323037,0.247819756861032,0.18546281836235,0.210216798749135,0.135235109247401,0.296704555184519,0.186488569762803,0.391556830011615
