"Germplasm","Rep","Plot","Row","Range","yld1","yld2","yld3","tot23","NDRE_125","NDRE_136","NDRE_144","NDRE_150","NDRE_152","NDRE_156","NDRE_164","NDRE_166","NDRE_172","NDRE_177","NDRE_179","NDRE_186","NDRE_192","NDRE_195","NDRE_198","NDRE_213","NDRE_223","NDRE_228","NDRE_244","NDRE_248","NDRE_251","NDRE_255","NDRE_263","NDRE_274","NDRE_278","NDRE_300","NDRE_305"
"SW4412Y",1,113,1,36,1.43,1.46,0.67,3.56,0.303444812268342,0.237173063045739,0.388550417161283,0.458820514752986,0.454606726801466,0.38656666175242,0.296521339389147,0.302905406391894,0.280503095975232,0.35582571354533,0.370243719977951,0.417004644257064,0.379113726575451,0.386428649754721,0.380095493417293,0.275254829204409,0.44002884993854,0.293872333074199,0.433841939724293,0.363342196151527,0.241958386324611,0.212189583798121,0.328361858813845,0.224046699391111,0.346773173121747,0.242116356239257,0.357556962649149
"AMERISTAND_427_TQ",1,114,1,35,1.42,1.64,0.66,3.72,0.301297993945053,0.275922362617936,0.340240037620888,0.391043448769642,0.453684796922621,0.364175927172293,0.305383805530331,0.317297732340725,0.303002178649237,0.355745258455805,0.350853313206254,0.393986838662937,0.376337259134631,0.387930738402779,0.364871668124263,0.329721706864564,0.463411813082304,0.30577677963011,0.443266464835092,0.37101150633087,0.255462062527566,0.219191875373552,0.297601361984971,0.245362114750141,0.367283276726508,0.238352081990856,0.33519595649205
"VERNAL",1,115,1,34,1.04,1.08,0.56,2.68,0.334734954587896,0.274137476624958,0.343288811875115,0.419857054929595,0.45602571543064,0.388588888390342,0.337490668818115,0.316304347298135,0.255355991285403,0.278153739371855,0.287968824439413,0.369916255297243,0.394756780208036,0.405424964007695,0.359160168571933,0.308212560386473,0.354796632121504,0.269505149098308,0.417817970759147,0.375923145404536,0.295145338837289,0.256423985523413,0.395283515368843,0.200821205913392,0.335142730066311,0.228329218106996,0.391465322281828
"HI-GEST_360",1,116,1,33,1.52,1.56,0.66,3.74,0.297200911948219,0.273248682368656,0.364684245531618,0.436841642486591,0.453003471364508,0.343763207037201,0.319328956965718,0.330219341149217,0.282366271069831,0.37502217209401,0.365047116570859,0.390969972206011,0.370993242851801,0.384337725804683,0.404070310583643,0.321411764705882,0.410840276449259,0.321825787583756,0.426299332181685,0.380583663693989,0.315012899896801,0.24376964158328,0.340628261443006,0.256088567334242,0.37011528289142,0.230907361379607,0.327589460634443
"55V50",1,117,1,32,1.74,1.73,0.83,4.3,0.31573378509653,0.280069970411448,0.406887876805223,0.478342942558189,0.460216512476327,0.397940628069178,0.294371382847991,0.305963953120697,0.292015468409586,0.39058922247313,0.387239431945314,0.402791473528629,0.3932621186629,0.419215603172822,0.398350114820703,0.303747655583973,0.374346003757768,0.341687688720712,0.470255129078658,0.404399653377184,0.366733039579667,0.27411516819117,0.347886118309102,0.231816206646817,0.378542088839417,0.227216085522307,0.366159033265047
"PLUSS_III",1,118,1,31,1.34,1.57,0.57,3.48,0.302338629054315,0.268716893200634,0.355565546098216,0.433396858743497,0.468322356975852,0.400218929677134,0.294573654789427,0.30907829997226,0.290764379084967,0.345533878749738,0.345764877692589,0.382492209260638,0.322473889717787,0.377161578765857,0.362402208687574,0.346012909511631,0.346112624706718,0.33963104184405,0.428196531137708,0.337027392504066,0.257651512231886,0.211905505565058,0.327713998447888,0.275331822420048,0.361442784294698,0.241267891734176,0.348822233457879
"WL_358LH",1,119,1,30,1.09,1.22,0.47,2.78,0.296324826226787,0.259541677263545,0.402892702093003,0.460300296589224,0.465891578294806,0.392191885653321,0.287857222967913,0.289605254274417,0.271498000515996,0.325149599662874,0.343632739493306,0.403200221815263,0.3707562423304,0.416779892715722,0.407017437605673,0.325388822195545,0.343900757507633,0.342788383096753,0.427820333702687,0.36078431372549,0.277895250696916,0.228919640619276,0.316188226119069,0.248973229769078,0.354979378942261,0.213920648071435,0.354156452663915
"NY1614",1,120,1,29,1.36,1.47,0.63,3.46,0.305505569231059,0.27057961738141,0.365029340203235,0.384250920098981,0.459157811585992,0.415142021720969,0.315668782796962,0.286971515337334,0.255092919389978,0.2881083760938,0.33252926143075,0.391244110827134,0.343360528237199,0.426452677634777,0.362863569702568,0.268495411632667,0.281730644483879,0.279957057712953,0.42020982020982,0.35501047493766,0.316168300653595,0.26531370070152,0.370723949552525,0.234699121968657,0.313496922301186,0.214120470097272,0.328415276558385
"LANDER",1,121,1,28,1.29,1.5,0.74,3.53,0.310988974714465,0.274675135898502,0.359392102339719,0.361317405886121,0.462000057922326,0.412836706002004,0.300384583380065,0.279294974448944,0.251875490196078,0.272843445748343,0.311496095025507,0.36346763740658,0.369030083701047,0.440692818767685,0.38024882024882,0.274834782397808,0.308413810018088,0.300915414898903,0.441752982929454,0.375602211653714,0.339612143102855,0.2702879480209,0.369797779383411,0.195832461575601,0.339166571529145,0.18208761454816,0.407637488234503
"LIGHTNING_BOLT",1,122,1,27,1.79,1.83,0.71,4.33,0.338224094351545,0.296551062479194,0.384591804948686,0.396916004069789,0.472836757281035,0.421702663521549,0.305035656183871,0.299049732576078,0.295625,0.332545564481299,0.345749227848212,0.37192203372397,0.332011923759566,0.396668868861382,0.344579269024618,0.299370172311349,0.358718640534603,0.317354853835807,0.44278120748709,0.375101382624735,0.346597007223942,0.24306784660767,0.338704304754332,0.226890909578606,0.370824889878319,0.19739276491959,0.304318568585469
