"Germplasm","Rep","Plot","Row","Range","NDVI_125","NDVI_136","NDVI_144","NDVI_150","NDVI_152","NDVI_156","NDVI_164","NDVI_166","NDVI_172","NDVI_177","NDVI_179","NDVI_186","NDVI_192","NDVI_195","NDVI_198","NDVI_213","NDVI_223","NDVI_228","NDVI_244","NDVI_248","NDVI_251","NDVI_255","NDVI_263","NDVI_274","NDVI_278","NDVI_300","NDVI_305"
"SW5606",1,2121010,1,51,0.57137375152081,0.45830184676981,0.50405710946179,0.615806358417807,0.350404178584753,0.405663864834009,0.462274287905703,0.496235268860449,0.538598801742919,0.234807268039959,0.239533865416218,0.467355814489098,0.533163746293575,0.568451275403147,0.504608286753615,0.485318231640482,0.501871947612734,0.460819344869617,0.384210031268855,0.302659488572137,0.26468739250086,0.204311246622543,0.375837892185535,0.277375027894059,0.301379256214859,0.266044125318359,0.334639265455771
"VERNAL",1,2121020,1,50,0.507266526139075,0.428119467691317,0.48894678352234,0.622074329731893,0.371686431240804,0.432627524694088,0.360352561155753,0.39563186505677,0.457449152906777,0.247056840435289,0.310805531494168,0.39651232269748,0.474101351279854,0.53915003594148,0.477472281970552,0.480379490926806,0.490181565504973,0.464142943521021,0.358845782375194,0.319633089287217,0.291611627106983,0.234140686756512,0.382166381857871,0.273870739542381,0.356828257746573,0.262888888888889,0.378619524924398
"SEEDWAY_9558_SBR",1,2121030,1,49,0.544115053428779,0.454005753755187,0.499840605341893,0.607003301320528,0.352319755844204,0.415952498466969,0.393454364339991,0.432513494386831,0.504421568627451,0.236520193980676,0.310520788167847,0.433379619381109,0.487395109149974,0.528700884442511,0.484443261467483,0.464368191721133,0.49494321740311,0.446419084202882,0.29414829905026,0.289612759492774,0.256498336395052,0.19689397883047,0.365438357054657,0.26762694133741,0.313715025068737,0.27217555146102,0.330573255770797
"REGEN",1,2121040,1,48,0.538402369056884,0.437351184557664,0.486558314180116,0.626924419992212,0.359496730892808,0.416950710108605,0.397880689393661,0.451062639004472,0.499217102396514,0.239170577677963,0.289102076756223,0.441972277564236,0.490737492955818,0.521959205381665,0.47879453848312,0.458248203629278,0.495591368766863,0.445931958686558,0.265943560061207,0.299799444474901,0.254108911527048,0.205775348487478,0.35564845292117,0.271638770419248,0.328033578788138,0.274466082613677,0.338306512527966
"WL_349HQ",1,2121050,1,47,0.566302851106773,0.447419094176658,0.494972039910855,0.62551709156361,0.369078291972242,0.423684833709736,0.480072454592268,0.518021933933969,0.529233316133471,0.215141419399618,0.259801631697057,0.467612126894827,0.512153582425955,0.528057622710029,0.499707720192149,0.449334157905586,0.490774165092986,0.425631760290998,0.299273911038617,0.290359382356353,0.264626663069683,0.209201060955356,0.356141739206894,0.276180321483219,0.324178844269391,0.285074195110143,0.345249000097551
"GUARDSMAN_II",1,2121060,1,46,0.560940403097266,0.431550448103515,0.492290893171352,0.635635276532137,0.37295038725618,0.426102019755271,0.405915623891478,0.463479090320665,0.511874074074074,0.240701023772341,0.253483667289479,0.467657680018067,0.499043320414071,0.525881189517553,0.492850462919667,0.447935780372755,0.486878775284926,0.429681511371068,0.304838987191928,0.300359587054866,0.274005417956656,0.230487593267395,0.366422126139076,0.271586372105403,0.305729657219511,0.272343551505109,0.334502733975956
"WL_349HQ",1,2121070,1,45,0.575459544086995,0.448312478206057,0.503875053671103,0.634966524726483,0.372887467709723,0.419650967429942,0.478028458446544,0.515485042638522,0.532161437908497,0.207075605572626,0.251843287137405,0.463633700714862,0.508538338784345,0.523130108156846,0.499070940593432,0.46581250682091,0.489899135888441,0.426118946603983,0.304779352818568,0.292183473551815,0.31015866873065,0.24318980689621,0.354838342617448,0.273853441411275,0.302489867853983,0.272736090470041,0.323056601546505
"SW5606",1,2121080,1,44,0.593152698789954,0.451655861803816,0.504169592267994,0.641546118447379,0.372737521130134,0.4106193179026,0.457978300490502,0.508460426612939,0.532441950464396,0.219847234047804,0.233696660279462,0.470618111285771,0.505118885114758,0.525249682300062,0.494406517243888,0.455797942072452,0.500798430844806,0.447563765594343,0.295437683672978,0.279600225000775,0.279858961128311,0.241202980700638,0.338892648110131,0.270716316622408,0.31446185461084,0.264068711988368,0.342015413130426
"VERNAL",1,2121090,1,43,0.530952027275557,0.414323237746755,0.493287260259295,0.614174669867947,0.376041053956985,0.411169690352622,0.355998711624447,0.397372126932965,0.48620174291939,0.231752311544087,0.270309667956727,0.391808487564258,0.469617366644445,0.506194399777287,0.480232201477876,0.433331871879186,0.46613232710377,0.450237539949901,0.323776947306359,0.297230597737697,0.299869823448051,0.300687637887013,0.369554895461792,0.257776057084016,0.323547983680833,0.282750621375311,0.329626175104665
"REGEN",1,2121100,1,42,0.530951555706458,0.435976687186503,0.498526880161686,0.625120649156524,0.367281501352636,0.408839623568726,0.422646263745673,0.454898164775963,0.486436618507052,0.217660444708857,0.287327742341917,0.410467354920073,0.485979575821733,0.507358238909041,0.491376497604871,0.440987455851906,0.482882443097234,0.470023075309419,0.334844699550582,0.304308903702996,0.310760547940513,0.341574122274278,0.41308833405332,0.257841465918727,0.335804649370665,0.294687900825432,0.337762088420561
