"Germplasm","Rep","Plot","Row","Range","yld1","yld2","yld3","tot23","GNDVI_125","GNDVI_142","GNDVI_145","GNDVI_150","GNDVI_152","GNDVI_156","GNDVI_164","GNDVI_166","GNDVI_172","GNDVI_178","GNDVI_184","GNDVI_187","GNDVI_193","GNDVI_198","GNDVI_213","GNDVI_223","GNDVI_228","GNDVI_251","GNDVI_255","GNDVI_265","GNDVI_277","GNDVI_300","GNDVI_306"
"ALGONQUIN",1,113,1,16,2.35,1.49,0.95,4.79,0.219641497350842,0.312102688947598,0.292558769544837,0.2568957283435,0.229070908114189,0.255971496231477,-0.0699115792928001,-0.145805394350465,0.0501736644721164,0.243074184238764,0.229738732619956,0.196054908320285,0.230226503313054,0.238234400913648,0.10581393903788,0.199671782426494,0.167085968959166,-0.00320402195100562,-0.0558537958030734,0.0972950921711689,0.187587672257264,0.102474481348218,0.490891650738189
"SW315_LH",1,114,1,17,2.44,1.48,1.06,4.98,0.224911484002348,0.307812291552341,0.293995866645058,0.276832431469076,0.250149336872524,0.277461439471218,-0.0774312840736073,-0.150781191087026,0.0222550685394389,0.232043129127403,0.238273074884686,0.211937962575529,0.255316527964845,0.277461713618554,0.0907219189853404,0.200825366149309,0.170911482329981,-0.0186885375066424,-0.0689665312402633,0.0828076361506948,0.180049570406635,0.105852287647232,0.492428690288377
"NY0465",1,115,1,18,2.58,1.64,1.23,5.45,0.211720596854546,0.292686621846698,0.290975773979748,0.26491269573668,0.231562784875785,0.258629529771385,-0.0797077933805135,-0.149973658614672,0.0534750677860414,0.250772128826245,0.23721408547887,0.216726813806466,0.254731763654331,0.274175714045466,0.104676429210192,0.211582642362069,0.176680632325942,-0.0182659238445289,-0.0652864333855178,0.123305270189331,0.224624992699382,0.130434394875677,0.526809458792188
"HI-GEST_360",1,116,1,19,2.24,1.6,1.05,4.9,0.220116023853191,0.272503004061431,0.283228395897817,0.262384818990692,0.23496365841324,0.269341511259095,-0.0831233001515524,-0.13935590346816,0.0967588038025524,0.293304904673813,0.256171766542256,0.240161458769684,0.281169198715851,0.278616017026873,0.140121883056813,0.240415199620949,0.199336641215681,-0.043126514333915,-0.0586021759597219,0.169978702250984,0.245714587561008,0.143551608175749,0.526931966148392
"N-R-GEE",1,117,1,20,2.52,1.47,0.9,4.89,0.224327804782107,0.266970832629592,0.291970112378771,0.252675619863376,0.227716801224341,0.253942808860516,-0.0807839076065946,-0.143969307926518,0.091847265789058,0.273149804392236,0.243281070788473,0.231981475042747,0.275498062616428,0.255611563505809,0.122068467368438,0.215849708785512,0.186768068125578,-0.0507507305047432,-0.057068707741473,0.140097275003565,0.207724510674158,0.126404870191692,0.519965098231416
"PLUSS_III",1,118,1,21,2.16,1.63,1.05,4.84,0.23999590517543,0.267388865233606,0.303038633086409,0.25605685856212,0.233688027881592,0.263730885323106,-0.0756117554841922,-0.125191148645472,0.126944676048398,0.302097362957287,0.25653998158229,0.249238644069809,0.284930705269755,0.267171535397087,0.129440446729348,0.240541575432406,0.205241429275623,-0.0619048987790907,-0.0370085117124682,0.191510683624731,0.247777037534144,0.145399051588441,0.541477060062411
"SEEDWAY_9558_SBR",1,119,1,22,2.7,1.66,1.22,5.57,0.240030829320665,0.263098184520087,0.297905667902616,0.251369601008801,0.233665077363464,0.258032630023067,-0.0887416890798468,-0.140495071065212,0.0902100777775539,0.278812648128194,0.240829588417456,0.230958859812891,0.277382541173771,0.261386213082775,0.0845815427228077,0.225426786779994,0.194969822340687,-0.0737166524244615,-0.069494012706145,0.158135296821003,0.225937161366016,0.139556956105828,0.532074170813648
"NY1517",1,120,1,23,2.51,1.38,1.13,5.02,0.245049948683343,0.268218702051337,0.304983323715327,0.251006039396521,0.238268424199433,0.258368168466007,-0.0941153859096475,-0.141240992072388,0.0605649783424737,0.263625793880937,0.236716946412565,0.225062162881107,0.268375220105831,0.295168875999149,0.0507753893475925,0.207816191753381,0.184210328872328,-0.0838331951695332,-0.0844910972670565,0.116133280268573,0.194446815817477,0.125785963380893,0.528232896252497
"SW5606",1,121,1,24,2.55,1.69,1.1,5.35,0.27689722490171,0.279744875171126,0.314347707803869,0.285525466448106,0.274918440659097,0.278998887117169,-0.0748366026223311,-0.10784008660495,0.143697037000804,0.339557189135185,0.277078956236154,0.266412755886134,0.299214095546489,0.291170007431136,0.116526489972059,0.26139760429797,0.225435231386034,-0.0624027770472671,-0.033391524963675,0.205544065088434,0.258363342666758,0.145312942009173,0.553553112882136
"EZRA",1,122,1,25,2.72,1.69,1.13,5.54,0.240852399731301,0.261078861177602,0.305090947530477,0.260235408290976,0.24872724911967,0.245446662418256,-0.0951886209736871,-0.137884247099928,0.0990991131045873,0.268581936107162,0.241008393302303,0.226871047466965,0.252585393576621,0.263844867586496,0.0744665122432651,0.215426309004225,0.190946017017149,-0.0728797191755096,-0.0730773919817035,0.146436593980614,0.214736623062743,0.144045093015062,0.541273030339874
