"","Germplasm","Rep","Plot","Row","Range","GNDVI_125","NDRE_125","NDVI_125","GNDVI_142","NDRE_142","NDVI_142","GNDVI_145","NDRE_145","NDVI_145","GNDVI_150","NDRE_150","NDVI_150","GNDVI_152","NDRE_152","NDVI_152","GNDVI_156","NDRE_156","NDVI_156","GNDVI_164","NDRE_164","NDVI_164","GNDVI_166","NDRE_166","NDVI_166","GNDVI_172","NDRE_172","NDVI_172","GNDVI_178","NDRE_178","NDVI_178","GNDVI_184","NDRE_184","NDVI_184","GNDVI_187","NDRE_187","NDVI_187","GNDVI_193","NDRE_193","NDVI_193","GNDVI_198","NDRE_198","NDVI_198","GNDVI_213","NDRE_213","NDVI_213","GNDVI_223","NDRE_223","NDVI_223","GNDVI_228","NDRE_228","NDVI_228","GNDVI_251","NDRE_251","NDVI_251","GNDVI_255","NDRE_255","NDVI_255","GNDVI_265","NDRE_265","NDVI_265","GNDVI_277","NDRE_277","NDVI_277","GNDVI_300","NDRE_300","NDVI_300","GNDVI_306","NDRE_306","NDVI_306"
"1","ALGONQUIN",1,2111010,1,1,0.325163823920407,0.289556245,0.554369611,0.306280752208345,0.492352567,0.639727092,0.311327762973819,0.470999151,0.625182456,0.274074372840406,0.427500563,0.57846593,0.239134566972438,0.447636885,0.543705578,0.281854764872077,0.356339548,0.572716275,-0.0958381774565626,0.388848508,0.488711898,-0.126334047719113,0.394803787,0.502223253,0.066721180052511,0.359881076,0.34987632,0.24282719938401,0.259419323,0.501088584,0.063606788822218,0.315499166,0.330584095,0.067660440892962,0.320035389,0.384370118,0.117794931934507,0.248213659,0.483575586,0.278448502754881,0.374431808,0.524389978,0.228697849602208,0.33734484,0.459872462,0.22722949477746,0.368854462,0.499192443,0.143297808738543,0.299056634,0.367757121,0.00459667138591788,0.401114368,0.453777831,-0.0155311160053558,0.316988933,0.388373061,0.0857075975064832,0.310606477,0.343743641,0.212724577939366,0.318828767,0.428134797,0.0897726962480404,0.255910395,0.407476207,0.500702883687348,0.251657644,0.593555655
"2","NY2003",1,2111020,1,2,0.313374475667523,0.312412444,0.527566705,0.317320185379011,0.498564169,0.632067142,0.314858992493115,0.476003223,0.620119826,0.294948292602328,0.446719105,0.57348088,0.258569825906995,0.434555237,0.531213022,0.296046685047712,0.384478809,0.560454936,-0.107756082042536,0.387729285,0.477277384,-0.134655345731401,0.381460141,0.542013822,0.0396880786280037,0.361348407,0.375769995,0.219845683494713,0.265017859,0.457361018,0.0718118195065423,0.312458252,0.337984438,0.0602642739061724,0.359073863,0.35009427,0.150302711202792,0.260814957,0.472407762,0.292163540735311,0.419646972,0.51168384,0.230866440103834,0.33604473,0.426006637,0.221632052260944,0.353949648,0.455192175,0.149898288952924,0.295153651,0.330792329,0.00425491621264754,0.390307847,0.457850117,-0.0314641254778229,0.310209271,0.44512426,0.0506332696674403,0.340566629,0.296509801,0.190931306023476,0.2840171,0.377149058,0.104202996740393,0.269346675,0.406954293,0.500427220774198,0.263062818,0.592838378
"3","N-R-GEE",1,2111030,1,3,0.308758969339678,0.323059351,0.545211462,0.292984011840651,0.425842113,0.615771599,0.278369681281204,0.412049965,0.606956988,0.279716540084137,0.412674492,0.565648948,0.245045689625593,0.431773575,0.527769401,0.278852331315182,0.341716595,0.552858869,-0.0963223123711013,0.38839748,0.420084294,-0.110085659852041,0.391042949,0.474912497,0.0867333525914255,0.343364179,0.354618401,0.258644528238992,0.291040564,0.513794703,0.0514925700323248,0.312612731,0.414342936,0.0259583534554077,0.394442443,0.338627564,0.133846398375159,0.32196403,0.473195677,0.259662913626603,0.354488232,0.516268867,0.238370548891185,0.340049843,0.451638793,0.229586564107317,0.354078858,0.478932748,0.158895930053318,0.304045279,0.368370882,0.00923708204355852,0.425260569,0.431634809,-0.023974243013403,0.329591147,0.391369193,0.103148479622987,0.303241237,0.344959162,0.2163761197529,0.288201754,0.431019231,0.106590640617722,0.251425326,0.409982629,0.512141090948536,0.26182653,0.605067198
"4","SW5210",1,2111040,1,4,0.330812818028765,0.429338177,0.549135783,0.32443573072841,0.487585718,0.639658418,0.301641620422107,0.462132307,0.616167994,0.291158948631438,0.437166307,0.568397344,0.254756018562807,0.427785748,0.521422895,0.298862137146937,0.389445066,0.550170771,-0.0869151325739005,0.415817099,0.431379934,-0.101480122787627,0.410149905,0.464639469,0.11127830875021,0.304917538,0.363388308,0.292098706559086,0.351382775,0.532127962,0.0707675788728202,0.315214555,0.387539371,0.0625275037591747,0.361053374,0.351737692,0.180000899933355,0.241915921,0.514544271,0.295104992056189,0.398224401,0.534596805,0.258475131268959,0.350726483,0.476416236,0.254086039292025,0.38098457,0.487485361,0.180858789420251,0.298812843,0.378243193,0.0110396270337577,0.447808699,0.402789044,0.0123320326264151,0.336667161,0.312639226,0.20279168293776,0.311535141,0.456741476,0.277235933066769,0.382619039,0.505582104,0.140329534327116,0.269718453,0.44175908,0.536514514141131,0.29201914,0.633684601
"5","NY2003",1,2111050,1,5,0.288126217866346,0.403292165,0.497673162,0.325221769286056,0.515463174,0.639239978,0.299646881918677,0.488888442,0.612378549,0.287010816343068,0.447553903,0.562548569,0.251064189723128,0.416660667,0.50979227,0.289388094486629,0.378178859,0.525832006,-0.0975470117763613,0.391071333,0.428974061,-0.12621538267528,0.373294439,0.532784314,0.0362928935068502,0.355263028,0.352526789,0.22894744445605,0.284010493,0.47357506,0.0787774133762592,0.298488874,0.355726755,0.0579498223919213,0.357682591,0.351499696,0.167847016734773,0.264556306,0.486433358,0.276965531426476,0.397717792,0.524465795,0.255899574208602,0.367236497,0.460856965,0.256713676230127,0.385063088,0.490811925,0.188024083914879,0.320222476,0.376575713,-0.0230430530829921,0.404757345,0.489297829,-0.0538560826373753,0.341628366,0.442752481,0.0978020162804357,0.306492253,0.343290035,0.190610215187465,0.293630323,0.405189501,0.119039213950073,0.281412353,0.414939935,0.507894577993656,0.285963117,0.598639582
"6","LIGHTNING_BOLT",1,2111060,1,6,0.272802168204297,0.38758648,0.513264266,0.295230514828804,0.462475242,0.623868691,0.281123846832807,0.468752201,0.600127138,0.26584978838958,0.412569454,0.557971753,0.242459658013281,0.443373813,0.518848295,0.276082864258237,0.360908552,0.525649065,-0.0864618637502974,0.403738248,0.433455241,-0.102987282193844,0.405669197,0.472241935,0.107095963939158,0.31993448,0.372116073,0.280189470822884,0.329611548,0.532459206,0.0582745792911065,0.306764303,0.396172848,0.0481710444818826,0.37057913,0.357288385,0.15455475410098,0.282269396,0.508232297,0.251872445267679,0.350921714,0.534523893,0.249302925919324,0.351216107,0.486144638,0.240458680349117,0.351990028,0.498050547,0.172252640347541,0.297819963,0.388282049,-0.000106259709605605,0.450680715,0.423357024,-0.0217950741149115,0.381310048,0.344579396,0.172475601875509,0.27971316,0.440888716,0.240650602728372,0.321979604,0.496884961,0.131941108977971,0.250709747,0.443641198,0.542522856954711,0.307444681,0.636518232
"7","N-R-GEE",1,2111070,1,7,0.265032514369128,0.390548081,0.50845849,0.298783622355277,0.457813982,0.62234698,0.287929554061955,0.470040049,0.601035628,0.257845511250578,0.401952539,0.553019728,0.251175002690062,0.426405461,0.513917134,0.26420767886115,0.336011166,0.496734501,-0.0816303100764577,0.390119963,0.425174553,-0.113655396478395,0.383346512,0.495476053,0.089794180414675,0.338174337,0.371092903,0.256787463662491,0.296884976,0.513328146,0.0379421052164046,0.287680503,0.450825114,0.0215947872722522,0.384254346,0.366308537,0.138887622124034,0.302178826,0.470964376,0.234745079995589,0.314428177,0.521535657,0.252922190107575,0.354747602,0.49755886,0.246511977190662,0.3803574,0.497764925,0.18350679987163,0.313926738,0.391934997,0.00417425458423191,0.451366818,0.426258472,-0.0267084495510429,0.391872268,0.372613624,0.144432189589331,0.304384663,0.416275066,0.231750830569011,0.3093921,0.478300888,0.133167332752446,0.264505022,0.425866877,0.534717777311847,0.293427466,0.618063395
"8","SW5210",1,2111080,1,8,0.275445123189581,0.42049205,0.507569647,0.324250127035863,0.489409609,0.639836131,0.307382383948714,0.486933762,0.604353775,0.258903110433473,0.421731726,0.546963183,0.266805980762155,0.441186905,0.502489631,0.285850811714807,0.385663259,0.491683982,-0.0753916153617544,0.402330489,0.484817131,-0.112716481479738,0.390266743,0.503888602,0.092520120517056,0.336456456,0.37362903,0.277727567920947,0.339120092,0.515618692,0.0365145212007496,0.315020528,0.443409235,0.032709686810519,0.379288674,0.36405175,0.153214461311634,0.268216562,0.488597292,0.259874701208905,0.31182687,0.530221206,0.26784164360412,0.363013174,0.507766319,0.25082074949208,0.364225123,0.493598266,0.195593153428447,0.315402989,0.378125871,0.0222706885642515,0.425420792,0.396074332,0.0105246862637655,0.367784742,0.315480044,0.176670505846648,0.289990742,0.435830071,0.259153107768989,0.334975259,0.496737437,0.13374093917229,0.264352374,0.425688034,0.546913586513903,0.303983216,0.629386293
"9","SW3407",1,2111090,1,9,0.265477715369448,0.44003309,0.500426673,0.332178859601924,0.51246798,0.647557079,0.314029887309362,0.483405706,0.612543797,0.256501492256032,0.423043798,0.547920066,0.274919538188496,0.447121951,0.497938351,0.290676448740845,0.400030647,0.49313994,-0.0654310945653081,0.442684849,0.45927517,-0.092615515806393,0.421419671,0.441396901,0.129781032038698,0.305790388,0.391368744,0.307311088703281,0.392222815,0.535721548,0.04330006851765,0.341122712,0.399342897,0.0381924491781299,0.378448976,0.368199383,0.143354476251526,0.291453563,0.487628167,0.2603258553325,0.295534121,0.528092364,0.254190933875428,0.354241501,0.505917138,0.236099950062012,0.368438769,0.482289762,0.193653392050423,0.300494552,0.38261314,0.00323760702209839,0.440015345,0.4209641,-0.00266160624652082,0.333059747,0.30626577,0.179091358597918,0.290911469,0.457931471,0.26437049304596,0.356733027,0.51079312,0.138457178344964,0.277767715,0.447237921,0.548593767762891,0.309053635,0.640543369
"10","ALGONQUIN",1,2111100,1,10,0.222318352676802,0.388289889,0.455110468,0.303711454465835,0.502911749,0.643212873,0.299128717824561,0.51063692,0.617862343,0.224208166103258,0.406475997,0.54832259,0.24430960893474,0.432104256,0.497347134,0.259338580414203,0.346054205,0.50194013,-0.071817372302575,0.412890514,0.488354751,-0.118376606569531,0.383047043,0.526127946,0.0711790932901346,0.372572144,0.355104516,0.229613050833046,0.265946823,0.496484816,0.0513963602168776,0.364715658,0.324226094,0.0438233973614068,0.378881858,0.366168272,0.103776751601484,0.332482708,0.469862366,0.217975007404965,0.264415251,0.515816703,0.21976875111851,0.337209246,0.480357143,0.211123953488337,0.355670323,0.500223928,0.167344510517532,0.285430606,0.395898673,-0.00708767769739429,0.44648934,0.462622494,-0.0342009287700806,0.337519528,0.378367775,0.121008424031532,0.308782279,0.385260659,0.204033953808389,0.300911613,0.445259068,0.114004715060842,0.271068975,0.421860568,0.510804609249602,0.289273041,0.607154745
