"plotNumber","germplasmName","replicate","rowNumber","colNumber","name","value","trait","doy","harvest","GDD_sum","loc","year"
2121010,"SW5606",1,1,51,"GNDVI_124.5",0.300511589498404,"GNDVI",125,"1",263.75,"NY-mus","2023"
2121020,"VERNAL",1,1,50,"GNDVI_124.5",0.251434026977444,"GNDVI",125,"1",263.75,"NY-mus","2023"
2121030,"SEEDWAY_9558_SBR",1,1,49,"GNDVI_124.5",0.26989650786035,"GNDVI",125,"1",263.75,"NY-mus","2023"
2121040,"REGEN",1,1,48,"GNDVI_124.5",0.252169159398765,"GNDVI",125,"1",263.75,"NY-mus","2023"
2121050,"WL_349HQ",1,1,47,"GNDVI_124.5",0.2586206770195,"GNDVI",125,"1",263.75,"NY-mus","2023"
2121060,"GUARDSMAN_II",1,1,46,"GNDVI_124.5",0.257279228397602,"GNDVI",125,"1",263.75,"NY-mus","2023"
2121070,"WL_349HQ",1,1,45,"GNDVI_124.5",0.264622789379447,"GNDVI",125,"1",263.75,"NY-mus","2023"
2121080,"SW5606",1,1,44,"GNDVI_124.5",0.294374236309909,"GNDVI",125,"1",263.75,"NY-mus","2023"
2121090,"VERNAL",1,1,43,"GNDVI_124.5",0.231267548352302,"GNDVI",125,"1",263.75,"NY-mus","2023"
2121100,"REGEN",1,1,42,"GNDVI_124.5",0.238381051279609,"GNDVI",125,"1",263.75,"NY-mus","2023"
2121110,"GUARDSMAN_II",1,1,41,"GNDVI_124.5",0.237823781834307,"GNDVI",125,"1",263.75,"NY-mus","2023"
2121120,"SEEDWAY_9558_SBR",1,1,40,"GNDVI_124.5",0.212560757012557,"GNDVI",125,"1",263.75,"NY-mus","2023"
2121121,"BORDER",1,1,39,"GNDVI_124.5",0.251612206425261,"GNDVI",125,"1",263.75,"NY-mus","2023"
2121122,"BORDER",1,1,38,"GNDVI_124.5",0.25654991331413,"GNDVI",125,"1",263.75,"NY-mus","2023"
2121123,"BORDER",1,1,37,"GNDVI_124.5",0.258385190461342,"GNDVI",125,"1",263.75,"NY-mus","2023"
2121130,"SW4412Y",1,1,36,"GNDVI_124.5",0.22474540713312,"GNDVI",125,"1",263.75,"NY-mus","2023"
2121140,"AMERISTAND_427_TQ",1,1,35,"GNDVI_124.5",0.205036273554287,"GNDVI",125,"1",263.75,"NY-mus","2023"
2121150,"VERNAL",1,1,34,"GNDVI_124.5",0.10523312489928,"GNDVI",125,"1",263.75,"NY-mus","2023"
2121160,"HI-GEST_360",1,1,33,"GNDVI_124.5",0.203225118211458,"GNDVI",125,"1",263.75,"NY-mus","2023"
2121170,"55V50",1,1,32,"GNDVI_124.5",0.236110479273763,"GNDVI",125,"1",263.75,"NY-mus","2023"
2121180,"PLUSS_III",1,1,31,"GNDVI_124.5",0.230405329202341,"GNDVI",125,"1",263.75,"NY-mus","2023"
2121190,"WL_358LH",1,1,30,"GNDVI_124.5",0.215638444097539,"GNDVI",125,"1",263.75,"NY-mus","2023"
2121200,"NY1614",1,1,29,"GNDVI_124.5",0.213723242185314,"GNDVI",125,"1",263.75,"NY-mus","2023"
2121210,"LANDER",1,1,28,"GNDVI_124.5",0.202886337647618,"GNDVI",125,"1",263.75,"NY-mus","2023"
2121220,"LIGHTNING_BOLT",1,1,27,"GNDVI_124.5",0.252488175251102,"GNDVI",125,"1",263.75,"NY-mus","2023"
2121230,"N-R-GEE",1,1,26,"GNDVI_124.5",0.263214890786127,"GNDVI",125,"1",263.75,"NY-mus","2023"
2121240,"SW4602Z",1,1,25,"GNDVI_124.5",0.279981289436686,"GNDVI",125,"1",263.75,"NY-mus","2023"
2121250,"ONEIDA_VR",1,1,24,"GNDVI_124.5",0.250927339094786,"GNDVI",125,"1",263.75,"NY-mus","2023"
2121260,"REGEN",1,1,23,"GNDVI_124.5",0.27119308050085,"GNDVI",125,"1",263.75,"NY-mus","2023"
2121270,"NY2003",1,1,22,"GNDVI_124.5",0.256524401497116,"GNDVI",125,"1",263.75,"NY-mus","2023"
2121280,"NY0651",1,1,21,"GNDVI_124.5",0.274007698792086,"GNDVI",125,"1",263.75,"NY-mus","2023"
2121290,"NY1517",1,1,20,"GNDVI_124.5",0.275923170676553,"GNDVI",125,"1",263.75,"NY-mus","2023"
2121300,"SEEDWAY_9558",1,1,19,"GNDVI_124.5",0.270318713456622,"GNDVI",125,"1",263.75,"NY-mus","2023"
2121310,"ALFABAR",1,1,18,"GNDVI_124.5",0.271898450833389,"GNDVI",125,"1",263.75,"NY-mus","2023"
2121320,"SW4107",1,1,17,"GNDVI_124.5",0.285533718753643,"GNDVI",125,"1",263.75,"NY-mus","2023"
2121330,"GUARDSMAN_II",1,1,16,"GNDVI_124.5",0.276056042826972,"GNDVI",125,"1",263.75,"NY-mus","2023"
2121340,"SW315_LH",1,1,15,"GNDVI_124.5",0.293791014639071,"GNDVI",125,"1",263.75,"NY-mus","2023"
2121350,"SEEDWAY_9558_SBR",1,1,14,"GNDVI_124.5",0.308790031271846,"GNDVI",125,"1",263.75,"NY-mus","2023"
2121360,"FSG_415BR",1,1,13,"GNDVI_124.5",0.32005319798896,"GNDVI",125,"1",263.75,"NY-mus","2023"
2121370,"NY1615",1,1,12,"GNDVI_124.5",0.313816855140258,"GNDVI",125,"1",263.75,"NY-mus","2023"
2121380,"REBOUND_6XT",1,1,11,"GNDVI_124.5",0.322917388212688,"GNDVI",125,"1",263.75,"NY-mus","2023"
2121390,"NY0465",1,1,10,"GNDVI_124.5",0.30931038360604,"GNDVI",125,"1",263.75,"NY-mus","2023"
