"","doy","GDD_sum"
"1",60,0
"2",61,1.65
"3",62,1.65
"4",63,2.2
"5",64,2.2
"6",65,4.15
"7",66,4.15
"8",67,4.15
"9",68,4.15
"10",69,4.15
"11",70,4.15
"12",71,4.15
"13",72,4.15
"14",73,4.15
"15",74,4.15
"16",75,4.7
"17",76,10.25
"18",77,12.2
"19",78,13.6
"20",79,13.6
"21",80,17.2
"22",81,23.05
"23",82,28.6
"24",83,32.2
"25",84,32.2
"26",85,32.5
"27",86,37.5
"28",87,40.3
"29",88,41.4
"30",89,44.2
"31",90,46.15
"32",91,49.5
"33",92,58.1
"34",93,60.05
"35",94,66.15
"36",95,72
"37",96,81.45
"38",97,86.75
"39",98,88.7
"40",99,92.3
"41",100,98.15
"42",101,107.35
"43",102,116.55
"44",103,131.85
"45",104,146
"46",105,161.3
"47",106,177.95
"48",107,190.15
"49",108,194.3
"50",109,194.6
"51",110,196
"52",111,201.55
"53",112,216.8
"54",113,225.4
"55",114,227.9
"56",115,229.55
"57",116,232.05
"58",117,234.85
"59",118,239.85
"60",119,245.4
"61",120,249.55
"62",121,254
"63",122,256.8
"64",123,259.3
"65",124,260.4
"66",125,263.75
"67",126,268.45
"68",127,275.65
"69",128,285.95
"70",129,291.8
"71",130,296.25
"72",131,304.05
"73",132,315.45
"74",133,330.45
"75",134,339.35
"76",135,343.5
"77",136,352.1
"78",137,361.25
"79",138,362.65
"80",139,369.6
"81",140,381.25
"82",141,391.5
"83",142,401.25
"84",143,409.05
"85",144,421.55
"86",145,429.05
"87",146,433.2
"88",147,440.4
"89",148,451.8
"90",149,464.85
"91",150,480.95
"92",151,499
"93",152,16.9
"94",153,34.4
"95",154,52.75
"96",155,62.2
"97",156,70.8
"98",157,81.35
"99",158,90.2
"100",159,99.1
"101",160,106.05
"102",161,114.4
"103",162,127.15
"104",163,144.65
"105",164,157.95
"106",165,170.45
"107",166,180.45
"108",167,194.3
"109",168,204
"110",169,216.25
"111",170,229
"112",171,245.65
"113",172,262.6
"114",173,277.05
"115",174,292.9
"116",175,310.1
"117",176,327.05
"118",177,346.2
"119",178,363.7
"120",179,380.9
"121",180,392.55
"122",181,408.1
"123",182,426.15
"124",183,445.35
"125",184,463.15
"126",185,480.4
"127",186,498.7
"128",187,519.25
"129",188,526.75
"130",189,542.9
"131",190,560.1
"132",191,577.05
"133",192,590.95
"134",193,609.85
"135",194,628.5
"136",195,646.25
"137",196,664.05
"138",197,684.05
"139",198,701.8
"140",199,720.4
"141",200,735.7
"142",201,15
"143",202,32.25
"144",203,46.15
"145",204,61.4
"146",205,78.65
"147",206,94.8
"148",207,111.2
"149",208,130.6
"150",209,148.65
"151",210,169.8
"152",211,185.1
"153",212,197.9
"154",213,209.6
"155",214,221
"156",215,234.9
"157",216,252.4
"158",217,269.05
"159",218,281.55
"160",219,296.8
"161",220,314.85
"162",221,328.15
"163",222,344.8
"164",223,358.4
"165",224,373.4
"166",225,390.1
"167",226,406.2
"168",227,422.3
"169",228,436.75
"170",229,452.85
"171",230,469.8
"172",231,481.45
"173",232,493.95
"174",233,508.95
"175",234,521.45
"176",235,534.5
"177",236,548.95
"178",237,562
"179",238,578.35
"180",239,592.5
"181",240,603.1
"182",241,614.5
"183",242,628.4
"184",243,639.25
"185",244,648.7
"186",245,660.35
"187",246,675.35
"188",247,693.7
"189",248,712.6
"190",249,732.05
"191",250,752.3
"192",251,771.45
"193",252,787.3
"194",253,801.2
"195",254,815.1
"196",255,827.05
