"","doy","GDD_sum"
"1",60,0
"2",61,0.85
"3",62,0.85
"4",63,0.85
"5",64,0.85
"6",65,0.85
"7",66,0.85
"8",67,0.85
"9",68,0.85
"10",69,0.85
"11",70,0.85
"12",71,0.85
"13",72,0.85
"14",73,0.85
"15",74,0.85
"16",75,0.85
"17",76,4.45
"18",77,5.85
"19",78,5.85
"20",79,5.85
"21",80,8.05
"22",81,12.5
"23",82,17.8
"24",83,22.25
"25",84,23.1
"26",85,23.95
"27",86,27.3
"28",87,29.5
"29",88,30.35
"30",89,33.4
"31",90,33.4
"32",91,36.45
"33",92,44.25
"34",93,44.25
"35",94,50.1
"36",95,56.5
"37",96,67.05
"38",97,72.6
"39",98,72.9
"40",99,74.3
"41",100,77.1
"42",101,83.5
"43",102,91.55
"44",103,102.95
"45",104,116.3
"46",105,129.9
"47",106,143.8
"48",107,154.65
"49",108,158.25
"50",109,158.8
"51",110,160.75
"52",111,166.85
"53",112,180.75
"54",113,189.95
"55",114,193.55
"56",115,196.05
"57",116,198.85
"58",117,202.2
"59",118,207.2
"60",119,212.2
"61",120,215.85
"62",121,220.05
"63",122,223.4
"64",123,225.6
"65",124,227.8
"66",125,230.85
"67",126,235.85
"68",127,242.25
"69",128,250.85
"70",129,257.25
"71",130,262.25
"72",131,269.2
"73",132,279.75
"74",133,292.25
"75",134,300.3
"76",135,304.2
"77",136,312.25
"78",137,321.4
"79",138,323.05
"80",139,329.7
"81",140,340.55
"82",141,348.85
"83",142,356.65
"84",143,363.85
"85",144,374.95
"86",145,383
"87",146,387.45
"88",147,394.65
"89",148,404.1
"90",149,415.2
"91",150,429.35
"92",151,444.65
"93",152,459.95
"94",153,474.95
"95",154,491.9
"96",155,500.8
"97",156,508
"98",157,517.15
"99",158,523.25
"100",159,528.8
"101",160,5.3
"102",161,12.5
"103",162,23.6
"104",163,37.75
"105",164,49.7
"106",165,61.4
"107",166,71.95
"108",167,85.25
"109",168,94.7
"110",169,105.55
"111",170,116.1
"112",171,130.25
"113",172,144.7
"114",173,156.35
"115",174,170.25
"116",175,186.35
"117",176,203.3
"118",177,221.6
"119",178,238
"120",179,254.4
"121",180,264.15
"122",181,277.75
"123",182,296.6
"124",183,315.2
"125",184,332.4
"126",185,349.65
"127",186,366.35
"128",187,385.25
"129",188,392.2
"130",189,408.6
"131",190,425.8
"132",191,441.6
"133",192,455.2
"134",193,472.7
"135",194,490.2
"136",195,507.45
"137",196,523.55
"138",197,542.4
"139",198,559.05
"140",199,576.8
"141",200,592.35
"142",201,605.95
"143",202,16.7
"144",203,29.45
"145",204,43.35
"146",205,58.65
"147",206,73.95
"148",207,88.7
"149",208,107.55
"150",209,125.6
"151",210,145.85
"152",211,160.55
"153",212,171.95
"154",213,183.05
"155",214,192.75
"156",215,204.95
"157",216,221.35
"158",217,237.45
"159",218,248.8
"160",219,262.45
"161",220,279.95
"162",221,291.3
"163",222,306.85
"164",223,319.35
"165",224,332.4
"166",225,348.55
"167",226,363.85
"168",227,379.4
"169",228,392.45
"170",229,407.45
"171",230,422.75
"172",231,434.7
"173",232,446.05
"174",233,460.25
"175",234,472.15
"176",235,484.1
"177",236,497.15
"178",237,509.95
"179",238,526.35
"180",239,541.05
"181",240,550.75
"182",241,561.3
"183",242,574.9
"184",243,585.2
"185",244,593.85
"186",245,604.7
"187",246,619.15
"188",247,636.95
"189",248,655
"190",249,673.35
"191",250,692.5
