"plot_name","plot_id","accession_name","plot_number","block_number","is_a_control","rep_number","row_number","col_number"
"CU23-2-2121010","46038","SW5606","2121010","1","","1","1","51"
"CU23-2-2121020","46096","VERNAL","2121020","1","","1","1","50"
"CU23-2-2121030","46060","SEEDWAY_9558_SBR","2121030","1","","1","1","49"
"CU23-2-2121040","46044","REGEN","2121040","1","","1","1","48"
"CU23-2-2121050","46026","WL_349HQ","2121050","1","","1","1","47"
"CU23-2-2121060","45957","GUARDSMAN_II","2121060","1","","1","1","46"
"CU23-2-2121070","46119","WL_349HQ","2121070","1","","1","1","45"
"CU23-2-2121080","46013","SW5606","2121080","1","","1","1","44"
"CU23-2-2121090","46004","VERNAL","2121090","1","","1","1","43"
"CU23-2-2121100","45995","REGEN","2121100","1","","1","1","42"
"CU23-2-2121110","46147","GUARDSMAN_II","2121110","1","","1","1","41"
"CU23-2-2121120","46091","SEEDWAY_9558_SBR","2121120","1","","1","1","40"
"CU23-2-2121121","45963","BORDER","2121121","1","","1","1","39"
"CU23-2-2121122","45978","BORDER","2121122","1","","1","1","38"
"CU23-2-2121123","46077","BORDER","2121123","1","","1","1","37"
"CU23-2-2121130","46011","SW4412Y","2121130","1","","1","1","36"
"CU23-2-2121140","45970","AMERISTAND_427_TQ","2121140","1","","1","1","35"
"CU23-2-2121150","46033","VERNAL","2121150","1","","1","1","34"
"CU23-2-2121160","46132","HI-GEST_360","2121160","1","","1","1","33"
"CU23-2-2121170","46141","55V50","2121170","1","","1","1","32"
"CU23-2-2121180","45992","PLUSS_III","2121180","1","","1","1","31"
"CU23-2-2121190","46036","WL_358LH","2121190","1","","1","1","30"
"CU23-2-2121200","46120","NY1614","2121200","1","","1","1","29"
"CU23-2-2121210","46130","LANDER","2121210","1","","1","1","28"
"CU23-2-2121220","46016","LIGHTNING_BOLT","2121220","1","","1","1","27"
"CU23-2-2121230","46072","N-R-GEE","2121230","1","","1","1","26"
"CU23-2-2121240","46123","SW4602Z","2121240","1","","1","1","25"
"CU23-2-2121250","46094","ONEIDA_VR","2121250","1","","1","1","24"
"CU23-2-2121260","45975","REGEN","2121260","1","","1","1","23"
"CU23-2-2121270","45999","NY2003","2121270","1","","1","1","22"
"CU23-2-2121280","46152","NY0651","2121280","1","","1","1","21"
"CU23-2-2121290","46066","NY1517","2121290","1","","1","1","20"
"CU23-2-2121300","45967","SEEDWAY_9558","2121300","1","","1","1","19"
"CU23-2-2121310","45960","ALFABAR","2121310","1","","1","1","18"
"CU23-2-2121320","46083","SW4107","2121320","1","","1","1","17"
"CU23-2-2121330","46030","GUARDSMAN_II","2121330","1","","1","1","16"
"CU23-2-2121340","45966","SW315_LH","2121340","1","","1","1","15"
"CU23-2-2121350","46010","SEEDWAY_9558_SBR","2121350","1","","1","1","14"
"CU23-2-2121360","46116","FSG_415BR","2121360","1","","1","1","13"
"CU23-2-2121370","45987","NY1615","2121370","1","","1","1","12"
"CU23-2-2121380","46142","REBOUND_6XT","2121380","1","","1","1","11"
"CU23-2-2121390","46092","NY0465","2121390","1","","1","1","10"
"CU23-2-2121400","45965","WL_349HQ","2121400","1","","1","1","9"
"CU23-2-2121410","45974","FSG_421LH","2121410","1","","1","1","8"
"CU23-2-2121420","46074","SW3407","2121420","1","","1","1","7"
"CU23-2-2121430","46015","SW5606","2121430","1","","1","1","6"
"CU23-2-2121440","45968","EZRA","2121440","1","","1","1","5"
"CU23-2-2121450","46035","SW5210","2121450","1","","1","1","4"
"CU23-2-2121460","46129","PERSIST_III","2121460","1","","1","1","3"
"CU23-2-2121470","45976","ALGONQUIN","2121470","1","","1","1","2"
"CU23-2-2121480","46128","ONEIDA_ULTRA","2121480","1","","1","1","1"
"CU23-2-2122010","46105","SW5606","2122010","1","","2","2","51"
"CU23-2-2122020","46008","WL_349HQ","2122020","1","","2","2","50"
"CU23-2-2122030","45990","VERNAL","2122030","1","","2","2","49"
"CU23-2-2122040","46110","REGEN","2122040","1","","2","2","48"
"CU23-2-2122050","46058","GUARDSMAN_II","2122050","1","","2","2","47"
"CU23-2-2122060","45982","SEEDWAY_9558_SBR","2122060","1","","2","2","46"
"CU23-2-2122070","46052","GUARDSMAN_II","2122070","1","","2","2","45"
"CU23-2-2122080","46140","WL_349HQ","2122080","1","","2","2","44"
"CU23-2-2122090","46020","SEEDWAY_9558_SBR","2122090","1","","2","2","43"
"CU23-2-2122100","46078","VERNAL","2122100","1","","2","2","42"
"CU23-2-2122110","46153","SW5606","2122110","1","","2","2","41"
"CU23-2-2122120","46045","REGEN","2122120","1","","2","2","40"
"CU23-2-2122121","46064","BORDER","2122121","1","","1","2","39"
"CU23-2-2122122","46144","BORDER","2122122","1","","1","2","38"
"CU23-2-2122123","45984","BORDER","2122123","1","","1","2","37"
"CU23-2-2122130","46055","EZRA","2122130","1","","2","2","36"
"CU23-2-2122140","46003","NY0465","2122140","1","","2","2","35"
"CU23-2-2122150","46113","SW3407","2122150","1","","2","2","34"
"CU23-2-2122160","46069","PLUSS_III","2122160","1","","2","2","33"
"CU23-2-2122170","46009","NY1517","2122170","1","","2","2","32"
"CU23-2-2122180","46001","NY1614","2122180","1","","2","2","31"
"CU23-2-2122190","46097","NY2003","2122190","1","","2","2","30"
"CU23-2-2122200","46107","ONEIDA_VR","2122200","1","","2","2","29"
"CU23-2-2122210","45983","WL_349HQ","2122210","1","","2","2","28"
"CU23-2-2122220","46145","FSG_421LH","2122220","1","","2","2","27"
"CU23-2-2122230","46112","SEEDWAY_9558_SBR","2122230","1","","2","2","26"
"CU23-2-2122240","46150","ALGONQUIN","2122240","1","","2","2","25"
"CU23-2-2122250","46054","AMERISTAND_427_TQ","2122250","1","","2","2","24"
"CU23-2-2122260","45964","REBOUND_6XT","2122260","1","","2","2","23"
"CU23-2-2122270","46122","SW4602Z","2122270","1","","2","2","22"
"CU23-2-2122280","46109","NY1615","2122280","1","","2","2","21"
"CU23-2-2122290","45988","GUARDSMAN_II","2122290","1","","2","2","20"
"CU23-2-2122300","46007","SW4412Y","2122300","1","","2","2","19"
