"","ALF47_merged","ALF45_merged","ALF38_merged","ALF37_merged","ALF14_merged","ALF39_merged","ALF13_merged","ALF17_merged","ALF32_merged","ALF01_merged","ALF21_merged","ALF12_merged","ALF30_merged","ALF08_merged","ALF18_merged","ALF16_merged","ALF43_merged","ALF31_merged","ALF07_merged","ALF46_merged","ALF27_merged","ALF02_merged","ALF41_merged","ALF06_merged","ALF34_merged","ALF15_merged","ALF11_merged","ALF09_merged","ALF19_merged","ALF03_merged","ALF04_merged","ALF28_merged","ALF05_merged","ALF20_merged","ALF40_merged","ALF10_merged","ALF22_merged","ALF44_merged","ALF23_merged","ALF25_merged","ALF26_merged","ALF42_merged","ALF33_merged","ALF24_merged","ALF35_merged","ALF36_merged"
"Chr1_149046",0.315789473684211,0,0,0.210526315789474,0.0952380952380952,0,0,0,0,0.0625,0.2,0,0.05,0.222222222222222,0,0,0.166666666666667,0,0.0454545454545455,0.166666666666667,0.1,0.105263157894737,0.0892469364680744,0.130434782608696,0.105263157894737,0.117647058823529,0.0666666666666667,0.0869565217391304,0.105263157894737,0.0588235294117647,0.0869565217391304,0.142857142857143,0.105263157894737,0.05,0,0,0.125,0.222222222222222,0.222222222222222,0.0952380952380952,0,0.166666666666667,0.210526315789474,0.111111111111111,0.0666666666666667,0
"Chr1_156714",0.0454545454545455,0.176470588235294,0.0833333333333333,0.2,0,0.105263157894737,0,0,0,0.0714285714285714,0.157894736842105,0,0.0869565217391304,0,0,0.0909090909090909,0,0.0714285714285714,0,0.0625,0.0952380952380952,0,0.0909090909090909,0,0.0588235294117647,0,0.142857142857143,0.103448275862069,0.0526315789473684,0.05,0,0,0,0.0526315789473684,0,0.0740740740740741,0,0.235294117647059,0.04,0.111111111111111,0.1875,0.0625,0.235294117647059,0.0434782608695652,0.166666666666667,0.0555555555555556
"Chr1_298677",0.185185185185185,0.117647058823529,0,0.0555555555555556,0.0833333333333333,0.15,0.217391304347826,0,0.1875,0.125,0.166666666666667,0.166666666666667,0.0689655172413793,0.263157894736842,0,0.0769230769230769,0.111111111111111,0.176470588235294,0.16,0.130434782608696,0.233333333333333,0.103448275862069,0.0909090909090909,0.142857142857143,0.142857142857143,0.166666666666667,0.15,0.193548387096774,0.0555555555555556,0.142857142857143,0.153846153846154,0,0.225806451612903,0.125,0.153846153846154,0.115384615384615,0.206896551724138,0.178571428571429,0.2,0.0384615384615385,0,0.266666666666667,0.12,0.214285714285714,0.1875,0
"Chr1_313001",0.368421052631579,0.34375,0.357142857142857,0.289473684210526,0.0975609756097561,0.342857142857143,0.230769230769231,0.277777777777778,0.392857142857143,0.296296296296296,0.365853658536585,0.37037037037037,0.379310344827586,0.2,0,0.0833333333333333,0.428571428571429,0.428571428571429,0.25531914893617,0.32258064516129,0.34375,0.222222222222222,0.230769230769231,0.234042553191489,0.3125,0.162162162162162,0.333333333333333,0.35,0.243243243243243,0.208333333333333,0.256410256410256,0.36,0.205128205128205,0.333333333333333,0.478260869565217,0.234042553191489,0.292682926829268,0.342105263157895,0.352941176470588,0.285714285714286,0.34375,0.444444444444444,0.342105263157895,0.282051282051282,0.375,0.358974358974359
"Chr1_313293",0.0857142857142857,0.277777777777778,0.333333333333333,0,0.0810810810810811,0.0416666666666667,0.0454545454545455,0.166666666666667,0.0625,0.222222222222222,0.0434782608695652,0.0588235294117647,0.0909090909090909,0.032258064516129,0.15,0.153846153846154,0.0833333333333333,0,0.142857142857143,0.115384615384615,0.153846153846154,0.0277777777777778,0,0.0666666666666667,0,0.137931034482759,0.277777777777778,0.178571428571429,0.137931034482759,0.212121212121212,0.151515151515152,0,0.0714285714285714,0.03125,0.117647058823529,0.151515151515152,0.032258064516129,0,0.08,0.129032258064516,0.19047619047619,0.2,0.037037037037037,0.166666666666667,0,0.1
"Chr1_331142",0.636363636363636,0.571428571428571,0.866666666666667,0.772727272727273,0.833333333333333,0.7,0.666666666666667,0.9,0.769230769230769,0.928571428571429,0.826086956521739,0.785714285714286,0.95,0.739130434782609,0.615384615384615,0.793424702699397,0.857142857142857,0.764705882352941,0.730769230769231,0.9,0.806451612903226,0.709677419354839,0.727272727272727,0.645161290322581,0.9,0.705882352941177,0.85,0.769230769230769,0.75,0.666666666666667,0.583333333333333,0.875,0.76,0.85,0.692307692307692,1,0.870967741935484,0.952380952380952,0.8,0.814814814814815,0.944444444444444,0.7,0.892857142857143,0.827586206896552,0.846153846153846,0.95
"Chr1_331174",0.409090909090909,0.214285714285714,0.4,0.428571428571429,0.3,0.3,0.285714285714286,0.2,0.384615384615385,0.428571428571429,0.35,0.461538461538462,0.421052631578947,0.0833333333333333,0.153846153846154,0.332115618120219,0.214285714285714,0.352941176470588,0.269230769230769,0.25,0.290322580645161,0.366666666666667,0.454545454545455,0.32258064516129,0.5,0.411764705882353,0.35,0.44,0.2,0.25,0.32,0.6,0.307692307692308,0.347826086956522,0.0833333333333333,0.296296296296296,0.121212121212121,0.285714285714286,0.35,0.444444444444444,0.444444444444444,0.3,0.222222222222222,0.444444444444444,0.384615384615385,0.5
"Chr1_331484",0.380952380952381,0.214285714285714,0.533333333333333,0.571428571428571,0.266666666666667,0.35,0.318181818181818,0.3,0.538461538461538,0.428571428571429,0.5,0.571428571428571,0.45,0.125,0.153846153846154,0.387087975412456,0.357142857142857,0.333333333333333,0.24,0.352941176470588,0.28,0.222222222222222,0.454545454545455,0.321428571428571,0.736842105263158,0.411764705882353,0.421052631578947,0.416666666666667,0.277777777777778,0.315789473684211,0.25,0.666666666666667,0.333333333333333,0.285714285714286,0.166666666666667,0.36,0.222222222222222,0.380952380952381,0.478260869565217,0.538461538461538,0.5,0.3,0.304347826086957,0.517241379310345,0.571428571428571,0.7
"Chr1_331506",0.238095238095238,0,0.214285714285714,0.166666666666667,0.192307692307692,0.166666666666667,0.210526315789474,0.0833333333333333,0,0.0769230769230769,0.157894736842105,0,0.222222222222222,0.368421052631579,0.0909090909090909,0.155647480210903,0.153846153846154,0.0714285714285714,0.19047619047619,0.176470588235294,0.260869565217391,0.227272727272727,0,0.192307692307692,0.176470588235294,0.176470588235294,0.111111111111111,0.0476190476190476,0.266666666666667,0.142857142857143,0.157894736842105,0.2,0.157894736842105,0.222222222222222,0,0.105263157894737,0.208333333333333,0.25,0.25,0.227272727272727,0.142857142857143,0,0.19047619047619,0.19047619047619,0.142857142857143,0.176470588235294
"Chr1_333102",0.5,0,0.0833333333333333,0.0666666666666667,0.0588235294117647,0.133333333333333,0.285714285714286,0.4,0.25,0.0714285714285714,0.307692307692308,0.142857142857143,0,0.357142857142857,0,0.0740740740740741,0.0833333333333333,0.266666666666667,0.1875,0,0.1875,0.2,0.2,0.294117647058824,0.166666666666667,0.333333333333333,0.142857142857143,0.166666666666667,0.1875,0.25,0.227272727272727,0.25,0.176470588235294,0.0625,0.0909090909090909,0,0.0588235294117647,0,0,0.157894736842105,0.117647058823529,0.2,0.0714285714285714,0,0.0769230769230769,0
